Room,Door,Lead to,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Forest 7,Forest07LeftDoor,Forest03UpperDoor,"Forest07CenterDoor 
| Forest07Right + (wall_grab + (double_jump | dodge | wall_charge) | high_jump)",Not Labbed,,"Forest07CenterDoor 
| Forest07Right + (high_jump | wall_grab | double_jump + dodge + (axe | scythe) + (moon | snow) | STALL + dodge + double_jump + grav)","Starting point from Items+Transitions

?? line 391",
Forest 8,Forest08Left,Forest07Right,Forest08LowerDoor + (high_jump | WALL_DASH + double_jump),Not Labbed,,Forest08LowerDoor + (high_jump | wall_grab + (moon | snow) | STALL + double_jump | STALL + dodge + grav),"Starting point from Items+Transitions

line 396 ref",
Forest 8,Forest08LowerDoor,Forest10RightDoor,Forest08Left,Not Labbed,,N/A,,
Forest 9,Forest09CenterDoor,Forest04LowerCenterRightDoor,"(Forest09LeftDoor | Forest09CenterLeftDoor) 
| (Forest09CenterRightDoor + (wall_grab | high_jump)) 
| (Forest09UpperRightDoor + (WALL_DASH | dodge | double_jump)) 
| (Forest09LowerRight + TORRENT + (high_jump | wall_grab))",Not Labbed,Should be able to compare against the Forest09 item logic,,,
Forest 9,Forest09CenterLeftDoor,Forest04LowerCenterLeftDoor,"(Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH)) 
| (Forest09LowerRight + TORRENT + (high_jump |  (wall_grab + (dodge | double_jump)))) 
| (Forest09LeftDoor + (high_jump | WALL_DASH)) 
| (Forest09CenterDoor + (high_jump | (WALL_DASH + (double_jump | dodge)))) 
| (Forest09CenterRightDoor + (high_jump | (wall_grab + (dodge | double_jump))))",Not Labbed,,,,
Forest 9,Forest09CenterRightDoor,Forest03LowerRightDoor,"(Forest09UpperRightDoor + (WALL_DASH | dodge | double_jump)) 
| (Forest09LowerRight + TORRENT) 
| ((Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump)) 
| (Forest09CenterLeftDoor + (dodge | double_jump | high_jump))",Not Labbed,,,,
Forest 9,Forest09LeftDoor,Forest04LowerLeftDoor,"(Forest09LowerRight + TORRENT + wall_grab + (dodge | double_jump)) 
| (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH))
| (Forest09CenterRightDoor + (wall_grab | (high_jump + (dodge | double_jump))))
| (Forest09CenterDoor | Forest09CenterLeftDoor) + (double_jump | dodge | wall_grab)",Not Labbed,,,,
Forest 9,Forest09LowerRight,Estate12Left,"((Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH)) 
| ((Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump)) 
| (Forest09CenterLeftDoor + (dodge | double_jump | high_jump | WALL_DASH)) 
| Forest09CenterRightDoor) 
+ TORRENT",Not Labbed,,,,
Forest 9,Forest09UpperRightDoor,Forest18LowerCenterDoor,"(Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump) 
| Forest09CenterLeftDoor + (dodge | double_jump | high_jump | WALL_DASH) 
| ((Forest09LowerRight + TORRENT | Forest09CenterRightDoor) + (high_jump | wall_grab + (dodge | double_jump) | WALL_DASH))",Not Labbed,,,,
Forest 10,Forest10CenterDoor,Forest18UpperLeftDoor,"((Forest10RightDoor | Forest10LowerLeftDoor) + (high_jump | double_jump))
| (Forest10UpperLeftDoor + ((dodge + wall_grab) | double_jump | high_jump | WALL_DASH))",Not Labbed,,,,
Forest 10,Forest10LowerLeftDoor,Forest05RightDoor,Forest10UpperLeftDoor | Forest10RightDoor,Not Labbed,,N/A,,
Forest 10,Forest10RightDoor,Forest08LowerDoor,None,Not Labbed,,N/A,,
Forest 10,Forest10UpperLeftDoor,Forest07CenterDoor,(Forest10LowerLeftDoor | Forest10CenterDoor | Forest10RightDoor) + (double_jump | high_jump),Not Labbed,,,,
Forest 11,Forest11Right,Forest06Left,None,Not Labbed,,N/A,,
Forest 12,Forest12LeftDoor,Forest01UpperDoor,Forest12UpperDoor | Forest12LowerRightDoor | Forest12UpperRightDoor,Not Labbed,,N/A,,
Forest 12,Forest12LowerRightDoor,Forest04UpperLeftDoor,Forest12LeftDoor | Forest12UpperRightDoor | Forest12UpperDoor,Not Labbed,,N/A,,
Forest 12,Forest12UpperDoor,Forest06LowerLeftDoor,(Forest12UpperRightDoor | Forest12LeftDoor | Forest12LowerRightDoor) + (double_jump | high_jump),Not Labbed,,,,
Forest 12,Forest12UpperRightDoor,Forest05LeftDoor,"(Forest12LeftDoor | Forest12LowerRightDoor) + (double_jump | high_jump)
| Forest12UpperDoor + (double_jump | high_jump | dodge)",Not Labbed,,,,
Forest 18,Forest18CenterLeftDoor,Forest04UpperRightDoor,"Forest18UpperLeftDoor | Forest18UpperRightDoor 
| Forest18LowerCenterDoor + (double_jump | high_jump | wall_grab) 
| Forest18LowerLeftDoor + (double_jump | high_jump)",Not Labbed,,,,
Forest 18,Forest18LowerCenterDoor,Forest09UpperRightDoor,"Forest18CenterLeftDoor | Forest18UpperLeftDoor | Forest18UpperRightDoor 
| Forest18LowerLeftDoor + (double_jump | high_jump)",Not Labbed,,,,
Forest 18,Forest18LowerLeftDoor,Forest04LowerRightDoor,None,Not Labbed,,N/A,,
Forest 18,Forest18UpperLeftDoor,Forest10CenterDoor,"Forest18LowerLeftDoor + (double_jump | high_jump) 
| Forest18CenterLeftDoor + (dodge | double_jump | high_jump) 
| Forest18UpperRightDoor + (dodge | double_jump | high_jump | WALL_DASH)
| Forest18LowerCenterDoor + (double_jump | high_jump | wall_grab + dodge)",Not Labbed,,,,
Forest 18,Forest18UpperRightDoor,Forest19LowerDoor,Forest18LowerLeftDoor + (double_jump | high_jump),Not Labbed,,,,
Forest 19,Forest19LeftDoor,Forest03UpperRightDoor,Forest19Right + Forest19Right_Lever,Not Labbed,,N/A,,
Forest 19,Forest19LowerDoor,Forest18UpperRightDoor,None,Not Labbed,,N/A,,
Forest 19,Forest19Right,Forest20Left,Forest19LeftDoor + Forest19Right_Lever,Not Labbed,,N/A,,
Forest 20,Forest20Left,Forest19Right,Forest20Right + (double_jump | high_jump | dash_charge),Not Labbed,,,,
Forest 20,Forest20Right,Forest21Left,Forest20Left + (double_jump + (dodge | wall_grab) | high_jump),Not Labbed,,,,
Forest 21,Forest21Left,Forest20Right,Forest21Right,Not Labbed,,N/A,,
Forest 21,Forest21Right,Forest22Left,Forest21Left,Not Labbed,,N/A,,
Forest 22,Forest22Left,Forest21Right,Forest22Right,Not Labbed,,N/A,,
Forest 22,Forest22Right,Forest23Left,Forest22Left,Not Labbed,,N/A,,
Forest 23,Forest23Left,Forest22Right,None,Not Labbed,,N/A,,
Garden 1,Garden01Left,Garden09Right,Garden01Right + (high_jump | wall_grab + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge)),Done,made this during the item testing,Finished,,
Garden 1,Garden01Right,Garden12Left,Garden01Left,Not Labbed,,N/A,,
Garden 2,Garden02Left,Garden04Right,"Garden02Right + (high_jump | double_jump + dodge + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + dodge + wall_grab)
| Garden02LowerLeft",Not Labbed,,"(Garden02Left + (high_jump | STALL + dodge + double_jump + grav | STALL + double_jump + (snow | moon) | wall_grab + STALL + grav + (double_jump | moon | snow)) 
| Garden04Right | Garden03UpperLeft + (high_jump + (double_jump + (axe | scythe) | grav + sword) | wall_grab + (snow | moon) + (STALL + grav | double_jump))","Starting point from Items+Transitions

line 739 ref

fix entrance names",
Garden 2,Garden02LowerLeft,Garden03UpperLeft,"((Garden02Right + (high_jump | double_jump + dodge + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + dodge + wall_grab)
| Garden02Left))
+ Garden02LowerLeft_Lever",Not Labbed,,,,
Garden 2,Garden02LowerRight,Garden03UpperRight,"((Garden02Left | Garden02LowerLeft) + Garden02Left_Lever) + (hook + (double_jump | wall_grab + dodge) | high_jump)
| Garden02Right",Not Labbed,,,,
Garden 2,Garden02Right,Garden09Left,"((Garden02Left | Garden02LowerLeft) + Garden02Left_Lever) + (hook + (double_jump | wall_grab + dodge) | high_jump | double_jump + wall_grab)
| (Garden02LowerRight + ((Garden02LowerRightRight_Lever + (double_jump + wall_grab | high_jump)) | (Garden02LowerRightLeft_Lever + ((double_jump | wall_grab + dodge) | high_jump))))",Not Labbed,,,,
Garden 3,Garden03LeftLower,Garden14Right,"Garden03UpperRight + (high_jump | dodge + double_jump)
| Garden03UpperLeft | Garden03LeftUpper",Not Labbed,,,,
Garden 3,Garden03LeftUpper,Garden13Right,"(Garden03UpperRight | Garden03LeftLower) + (high_jump | dodge + double_jump)
| Garden03UpperLeft",Not Labbed,,,,
Garden 3,Garden03UpperLeft,Garden02LowerLeft,(Garden03UpperRight | Garden03LeftLower | Garden03LeftUpper) + (high_jump | dodge + double_jump),Not Labbed,,,,
Garden 3,Garden03UpperRight,Garden02LowerRight,Garden03LeftLower | Garden03UpperLeft | Garden03LeftUpper,Not Labbed,,N/A,,
Garden 4,Garden04Left,Garden05Right,Garden04Right,Not Labbed,,N/A,,
Garden 4,Garden04Right,Garden02Left,Garden04Left,Not Labbed,,N/A,,
Garden 5,Garden05Left,Garden06Right,Garden05Right,Not Labbed,,N/A,,
Garden 5,Garden05Right,Garden04Left,Garden05Left,Not Labbed,,N/A,,
Garden 6,Garden06Left,Garden08Right,"(Garden06Right + ((double_jump + wall_grab) + (wall_charge | hook | dodge) | high_jump)
| Garden06UpperDoor + (hook | WALL_DASH | high_jump | double_jump + dodge)) + pile_attack",Not Labbed,,,,
Garden 6,Garden06Right,Garden05Left,"Garden06Left + (double_jump + (hook | WALL_DASH) | high_jump | (wall_grab + hook + dodge))
| Garden06UpperDoor",Not Labbed,,,,
Garden 6,Garden06UpperDoor,Garden07LowerDoor,"Garden06Right + (hook + double_jump + wall_grab + (wall_charge | dodge) | high_jump)
| Garden06Left + (double_jump + hook | high_jump | wall_grab + hook + dodge)",Not Labbed,,,,
Garden 7,Garden07LowerDoor,Garden06UpperDoor,Garden07Upper,Not Labbed,,N/A,,
Garden 7,Garden07Upper,Garden10Lower,Garden07LowerDoor + (high_jump + (dodge | double_jump) | double_jump + dodge + wall_grab),Not Labbed,,,,
Garden 8,Garden08Right,Garden06Left,Garden08Upper,Not Labbed,,N/A,,
Garden 8,Garden08Upper,Labo06Lower,Garden08Right + high_jump,Not Labbed,,,,
Garden 9,Garden09Left,Garden02Right,Garden09Right,Not Labbed,,N/A,,
Garden 9,Garden09Right,Garden01Left,Garden09Left,Not Labbed,,N/A,,
Garden 10,Garden10Left,Garden11Right,Garden10Lower,Not Labbed,,N/A,,
Garden 10,Garden10Lower,Garden07Upper,Garden10Left,Not Labbed,,N/A,,
Garden 11,Garden11Right,Garden10Left,None,Not Labbed,,N/A,,
Garden 12,Garden12Left,Garden01Right,Garden12RightDoor,Not Labbed,,N/A,,
Garden 12,Garden12RightDoor,Center03LeftDoor,Garden12Left,Not Labbed,,N/A,,
Garden 13,Garden13Right,Garden03LeftUpper,None,Not Labbed,,N/A,,
Garden 14,Garden14Left,Factory03Right,Garden14Right + TORRENT,Not Labbed,,N/A,,
Garden 14,Garden14Right,Garden03LeftLower,Garden14Left + TORRENT,Not Labbed,,N/A,,
Kowloon 1,Kowloon01LeftDoor,Center03RightDoor,Kowloon01Right,Not Labbed,,N/A,,
Kowloon 1,Kowloon01Right,Kowloon02LowerLeft,Kowloon01LeftDoor,Not Labbed,,N/A,,
Kowloon 2,Kowloon02CenterRight,Kowloon05LowerLeft,"(Kowloon02LowerLeft + (wall_grab + (dodge | double_jump) | high_jump))
| Kowloon02LowerRight +  ((wall_grab + dodge | double_jump) | high_jump)
| Kowloon02UpperRight | Kowloon02UpperLeft",Not Labbed,,,,
Kowloon 2,Kowloon02LowerLeft,Kowloon01Right,"((Kowloon02UpperLeft | Kowloon02CenterRight | Kowloon02UpperRight) + (double_jump | dodge | WALL_DASH | high_jump)) 
| (Kowloon02LowerRight + (high_jump | (wall_grab + (dodge | double_jump)))) ",Not Labbed,,,,
Kowloon 2,Kowloon02LowerRight,Kowloon03Left,"(Kowloon02CenterRight | Kowloon02UpperRight | Kowloon02UpperLeft) 
| Kowloon02LowerLeft + (high_jump | wall_grab + (dodge | double_jump))",Not Labbed,,,,
Kowloon 2,Kowloon02UpperLeft,Kowloon39LowerRight,"((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + (high_jump + (double_jump | dodge | WALL_DASH)))
| Kowloon02UpperRight + (double_jump + (wall_grab | high_jump) | high_jump + (dodge | WALL_DASH))",Not Labbed,,,,
Kowloon 2,Kowloon02UpperRight,Kowloon05UpperLeft,"((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + high_jump)
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge | high_jump))",Not Labbed,,,,
Kowloon 3,Kowloon03Left,Kowloon02LowerRight,Kowloon03Right,Not Labbed,,N/A,,
Kowloon 3,Kowloon03Right,Kowloon06LowerLeft,Kowloon03Left,Not Labbed,,N/A,,
Kowloon 4,Kowloon04LeftDoor,Summit01RightDoor,Kowloon04Right,Not Labbed,,N/A,,
Kowloon 4,Kowloon04Right,Kowloon43Left,Kowloon04LeftDoor,Not Labbed,,N/A,,
Kowloon 5,Kowloon05LowerLeft,Kowloon02CenterRight,Kowloon05Right | Kowloon05UpperLeft,Not Labbed,,N/A,,
Kowloon 5,Kowloon05Right,Kowloon06UpperLeft,Kowloon05LowerLeft | Kowloon05UpperLeft,Not Labbed,,N/A,,
Kowloon 5,Kowloon05UpperLeft,Kowloon02UpperRight,(Kowloon05LowerLeft | Kowloon05Right) + (high_jump | (wall_grab + double_jump)),Not Labbed,,,,
Kowloon 6,Kowloon06CenterRight,Kowloon08Left,None,Not Labbed,,N/A,,
Kowloon 6,Kowloon06LowerLeft,Kowloon03Right,"(Kowloon06LowerRight + (wall_grab | high_jump + (dodge | double_jump))) 
| (Kowloon06UpperLeft | Kowloon06CenterRight | Kowloon06UpperRight)",Not Labbed,,,,
Kowloon 6,Kowloon06LowerRight,Kowloon07Left,"((Kowloon06LowerLeft | Kowloon06CenterRight | Kowloon06UpperRight | Kowloon06UpperLeft) 
+ (double_jump | dodge | wall_grab)) ",Not Labbed,,,,
Kowloon 6,Kowloon06UpperLeft,Kowloon05Right,"((Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump | double_jump))
| (Kowloon06LowerRight + (double_jump + (wall_grab | high_jump) | (dodge + high_jump)))
| (Kowloon06UpperRight + (dodge | double_jump | high_jump))",Not Labbed,,,,
Kowloon 6,Kowloon06UpperRight,Kowloon16Left,"(Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump + (double_jump | dodge | WALL_DASH) | double_jump + hook)
| Kowloon06LowerRight + (high_jump + (double_jump | dodge | WALL_DASH) | wall_grab + hook + double_jump) 
| Kowloon06UpperLeft + (high_jump + (double_jump | dodge | WALL_DASH) | hook + (dodge | double_jump))",Not Labbed,,,,
Kowloon 7,Kowloon07Left,Kowloon06LowerRight,Kowloon07Right | (Kowloon07Lower + Kowloon09Upper_Lever),Not Labbed,,N/A,,
Kowloon 7,Kowloon07Lower,Kowloon09Upper,(Kowloon07Right | Kowloon07Left) + Kowloon09Upper_Lever,Not Labbed,,N/A,,
Kowloon 7,Kowloon07Right,Kowloon10Left,Kowloon07Left | (Kowloon07Lower + Kowloon09Upper_Lever),Not Labbed,,N/A,,
Kowloon 8,Kowloon08Left,Kowloon06CenterRight,Kowloon08Right,Not Labbed,,N/A,,
Kowloon 8,Kowloon08Right,Kowloon15CenterLeft,Kowloon08Left,Not Labbed,,N/A,,
Kowloon 9,Kowloon09HiddenRight,Kowloon14Left,Kowloon09Upper + Kowloon09Upper_Lever,Not Labbed,,N/A,,
Kowloon 9,Kowloon09Upper,Kowloon07Lower,Kowloon09HiddenRight + wall_grab + (dodge | double_jump | high_jump | wall_charge),Not Labbed,,,,
Kowloon 10,Kowloon10Left,Kowloon07Right,Kowloon10Right + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + (wall_grab | high_jump)),Not Labbed,,,,
Kowloon 10,Kowloon10Lower,Kowloon13UpperLeft,(Kowloon10Left | Kowloon10Right) + (hook | double_jump | STALL | RONIN) + pile_attack,In Progress,,double_jump while sprinting works with 2 base dodge rolls,"Lazer
Tracer + wall_grab | grav | dodge?
",
Kowloon 10,Kowloon10Right,Kowloon15LowerLeft,Kowloon10Left + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + high_jump),Not Labbed,,,,
Kowloon 13,Kowloon13HiddenLower,Kowloon14HiddenUpper,"(Kowloon13UpperLeft + (wall_grab | double_jump | high_jump | (hook + dodge))) 
| Kowloon13UpperRight",Not Labbed,,,,
Kowloon 13,Kowloon13UpperLeft,Kowloon10Lower,(Kowloon13UpperRight | Kowloon13HiddenLower) + high_jump,Not Labbed,,,,
Kowloon 13,Kowloon13UpperRight,Kowloon15Lower,"(Kowloon13UpperLeft | Kowloon13HiddenLower) + (high_jump | wall_grab + dodge + double_jump | double_jump + (hook + wall_grab | WALL_DASH))
",Not Labbed,,,,
Kowloon 14,Kowloon14HiddenUpper,Kowloon13HiddenLower,Kowloon14Left + (hook + double_jump + dodge + (wall_grab | high_jump)),Not Labbed,,,,
Kowloon 14,Kowloon14Left,Kowloon09HiddenRight,Kowloon14HiddenUpper + hook + (dodge | double_jump | WALL_DASH),Not Labbed,,,,
Kowloon 15,Kowloon15CenterLeft,Kowloon08Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge)))) 
| (Kowloon15LowerRight + (wall_grab | high_jump)) 
| ((Kowloon15UpperLeft | Kowloon15UpperRight) + (wall_grab | high_jump | dodge | double_jump | hook))",Not Labbed,,,,
Kowloon 15,Kowloon15Lower,Kowloon13UpperRight,(Kowloon15LowerLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight | Kowloon15CenterLeft) + Kowloon15Lower_Lever,Not Labbed,,N/A,,
Kowloon 15,Kowloon15LowerLeft,Kowloon10Right,"(Kowloon15Lower + (high_jump | wall_grab)) 
| (Kowloon15CenterLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight)",Not Labbed,,,,
Kowloon 15,Kowloon15LowerRight,Kowloon18Left,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge))))
| ((Kowloon15CenterLeft) + (hook | double_jump | dodge | high_jump | WALL_DASH))
| Kowloon15UpperLeft | Kowloon15UpperRight",Not Labbed,,,,
Kowloon 15,Kowloon15UpperLeft,Kowloon16Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| Kowloon15UpperRight",Not Labbed,,,,
Kowloon 15,Kowloon15UpperRight,Kowloon21LowerLeft,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft | Kowloon15UpperLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| (Kowloon15UpperLeft + (high_jump | (wall_grab + (hook + (dodge | double_jump)) | (double_jump + dodge))))",Not Labbed,,,,
Kowloon 16,Kowloon16Left,Kowloon06UpperRight,"Kowloon16Upper + (hook | WALL_DASH + (double_jump | high_jump))
| Kowloon16Right + (hook + (high_jump | double_jump + wall_grab) | WALL_DASH + (double_jump | high_jump))",Not Labbed,,,,
Kowloon 16,Kowloon16Right,Kowloon15UpperLeft,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Left + (hook | (double_jump + WALL_DASH)))",Not Labbed,,,,
Kowloon 16,Kowloon16Upper,Kowloon23Lower,"Kowloon16Left + (high_jump + double_jump + dodge | hook + (high_jump | double_jump + wall_grab) | WALL_DASH + double_jump)
| Kowloon16Right + (hook + (high_jump | double_jump + wall_grab) | WALL_DASH + (double_jump | high_jump))",Not Labbed,,,,
Kowloon 18,Kowloon18Left,Kowloon15LowerRight,None,Not Labbed,,N/A,,
Kowloon 21,Kowloon21LowerLeft,Kowloon15UpperRight,None,Not Labbed,,N/A,,
Kowloon 21,Kowloon21UpperLeft,Kowloon24Right,Kowloon21LowerLeft + (wall_grab | high_jump),Not Labbed,,,,
Kowloon 23,Kowloon23Lower,Kowloon16Upper,Kowloon23Upper + pile_attack,Not Labbed,,,,
Kowloon 23,Kowloon23Upper,Kowloon24Lower,None,Not Labbed,,N/A,,
Kowloon 24,Kowloon24Left,Kowloon25Right,Kowloon24Right | Kowloon24Upper,Not Labbed,,N/A,,
Kowloon 24,Kowloon24Lower,Kowloon23Upper,"(Kowloon24Upper 
| (Kowloon24Left | Kowloon24Right) + (hook | high_jump | (wall_grab + double_jump)))
+ pile_attack",Not Labbed,,,,
Kowloon 24,Kowloon24Right,Kowloon21UpperLeft,Kowloon24Left | Kowloon24Upper,Not Labbed,,N/A,,
Kowloon 24,Kowloon24Upper,Kowloon30Lower,(Kowloon24Left | Kowloon24Right) + hook,Not Labbed,,,,
Kowloon 25,Kowloon25Left,Kowloon26Right,Kowloon25Right + (wall_grab | high_jump) + (double_jump | dodge),Not Labbed,,,,
Kowloon 25,Kowloon25Right,Kowloon24Left,Kowloon25Left + (wall_grab | dodge | high_jump | double_jump),Not Labbed,,,,
Kowloon 26,Kowloon26Left,Kowloon38LowerRight,Kowloon26Right,Not Labbed,,N/A,,
Kowloon 26,Kowloon26Right,Kowloon25Left,Kowloon26Left,Not Labbed,,N/A,,
Kowloon 28,Kowloon28Left,Kowloon47Right,Kowloon28Right,Not Labbed,,N/A,,
Kowloon 28,Kowloon28Right,Kowloon34UpperLeft,Kowloon28Left,Not Labbed,,N/A,,
Kowloon 29,Kowloon29Left,Kowloon30LowerRight,None,Not Labbed,,N/A,,
Kowloon 30,Kowloon30CenterLeft,Kowloon41UpperRight,"(Kowloon30LowerLeft + (high_jump | hook)) 
| (Kowloon30LowerRight + ((high_jump + hook) | high_jump + double_jump + dodge | (double_jump + (WALL_DASH | (wall_grab + hook)))))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| Kowloon30UpperLeft
| (Kowloon30CenterRight + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| Kowloon30UpperRight + (WALL_DASH | hook | high_jump + double_jump + dodge)",Not Labbed,,,,
Kowloon 30,Kowloon30CenterRight,Kowloon33Left,"((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| (Kowloon30LowerRight + (high_jump |  (double_jump + wall_grab + hook))) 
| (Kowloon30UpperLeft + (WALL_DASH | hook | (high_jump + double_jump + dodge)))
| (Kowloon30UpperRight + (double_jump | hook | dodge | WALL_DASH | high_jump)) 
| (Kowloon30Lower + (hook | high_jump + double_jump + dodge)) ",Not Labbed,,,,
Kowloon 30,Kowloon30Lower,Kowloon24Upper,"Kowloon30LowerLeft + (hook | (high_jump + (double_jump | dodge)))
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | dodge) | (high_jump + (double_jump | dodge)))
| (Kowloon30LowerRight + ((wall_grab + double_jump + (hook | WALL_DASH)) | (high_jump + (hook | double_jump | dodge))))
| (Kowloon30CenterRight + (hook | (double_jump + (dodge | WALL_DASH)) | (high_jump + (double_jump | dodge))))
| (Kowloon30UpperLeft + (dodge | hook | high_jump | WALL_DASH + double_jump))
| (Kowloon30UpperRight + (double_jump | dodge | hook | high_jump))",Not Labbed,,,,
Kowloon 30,Kowloon30LowerLeft,Kowloon41LowerRight,"Kowloon30LowerRight + (double_jump + wall_grab + (hook | wall_charge) | high_jump + hook | high_jump + double_jump + dodge) 
| (Kowloon30CenterRight | Kowloon30UpperRight) + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + double_jump + dodge)
| Kowloon30CenterLeft | Kowloon30UpperLeft",Not Labbed,,,,
Kowloon 30,Kowloon30LowerRight,Kowloon29Left,"Kowloon30LowerLeft + (hook | high_jump + double_jump + (WALL_DASH | dodge)) 
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | high_jump + dodge))
| Kowloon30UpperLeft + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + dodge + double_jump)
| Kowloon30UpperRight | Kowloon30CenterRight",Not Labbed,,,,
Kowloon 30,Kowloon30UpperLeft,Kowloon31Right,"(Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook + wall_grab + (double_jump | dodge | wall_charge) | high_jump + (double_jump | hook)) 
| Kowloon30LowerRight + (double_jump + wall_grab + (hook | high_jump + wall_charge) | high_jump + (hook | dodge + double_jump))
| Kowloon30CenterRight + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + double_jump + (WALL_DASH | dodge))
| Kowloon30UpperRight + (hook | WALL_DASH | high_jump + dodge + double_jump) 
| Kowloon30Lower + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + dodge + double_jump)",Not Labbed,,,,
Kowloon 30,Kowloon30UpperRight,Kowloon32Left,"((Kowloon30LowerLeft | Kowloon30CenterLeft)  + (hook + (high_jump | WALL_DASH | wall_grab + double_jump) | (high_jump + double_jump + (dodge | WALL_DASH)))) 
| (Kowloon30UpperLeft + (hook + (high_jump | wall_grab + double_jump) | WALL_DASH | (high_jump + double_jump + dodge)))
| (Kowloon30LowerRight + (double_jump + wall_grab + (hook | (wall_charge + high_jump))))
| (Kowloon30CenterRight + (hook + (WALL_DASH | wall_grab + double_jump) | (high_jump + (double_jump | hook))))
| (Kowloon30Lower + (hook + (high_jump | WALL_DASH | wall_grab + double_jump) | (high_jump + double_jump + dodge)))",Not Labbed,,,,
Kowloon 31,Kowloon31Right,Kowloon30UpperLeft,None,Not Labbed,,N/A,,
Kowloon 32,Kowloon32Left,Kowloon30UpperRight,None,Not Labbed,,N/A,,
Kowloon 33,Kowloon33Left,Kowloon30CenterRight,Kowloon33Right + Kowloon34Lower_Lever,Not Labbed,,N/A,,
Kowloon 33,Kowloon33Right,Kowloon34LowerLeft,Kowloon33Left + Kowloon34Lower_Lever,Not Labbed,,N/A,,
Kowloon 34,Kowloon34CenterLeft,Kowloon46Right,Kowloon34Right | Kowloon34UpperLeft | Kowloon34LowerLeft + Kowloon34Lower_Lever,Not Labbed,,N/A,,
Kowloon 34,Kowloon34LowerLeft,Kowloon33Right,Kowloon34Right | Kowloon34CenterLeft | Kowloon34UpperLeft,Not Labbed,,N/A,,
Kowloon 34,Kowloon34Right,Kowloon35Left,Kowloon34CenterLeft | Kowloon34UpperLeft | Kowloon34LowerLeft + Kowloon34Lower_Lever,Not Labbed,,N/A,,
Kowloon 34,Kowloon34UpperLeft,Kowloon28Right,Kowloon34CenterLeft | (Kowloon34Right | Kowloon34LowerLeft + Kowloon34Lower_Lever) + (high_jump | double_jump),Not Labbed,,,,
Kowloon 35,Kowloon35CenterLowerRight,Kowloon48Left,Kowloon35CenterRight,Not Labbed,,N/A,,
Kowloon 35,Kowloon35CenterRight,Kowloon49Left,Kowloon35CenterLowerRight,Not Labbed,,N/A,,
Kowloon 35,Kowloon35CenterUpperRight,Kowloon50Left,Kowloon35UpperRight,Not Labbed,,N/A,,
Kowloon 35,Kowloon35Left,Kowloon34Right,Kowloon35LowerRight,Not Labbed,,N/A,,
Kowloon 35,Kowloon35LowerRight,Kowloon37Left,Kowloon35Left,Not Labbed,,N/A,,
