Room,Door,Lead to,Logic,Status,Notes
Garden 12,Garden12RightDoor,Center03LeftDoor,Garden12Left,Done,
Garden 13,Garden13Right,Garden03LeftUpper,None,Done,
Garden 14,Garden14Left,Factory03Right,Garden14Right + TORRENT,Done,
Garden 14,Garden14Right,Garden03LeftLower,Garden14Left + TORRENT,Done,
Kowloon 1,Kowloon01LeftDoor,Center03RightDoor,Kowloon01Right,Done,
Kowloon 1,Kowloon01Right,Kowloon02LowerLeft,Kowloon01LeftDoor,Done,
Kowloon 2,Kowloon02CenterRight,Kowloon05LowerLeft,"((Kowloon02LowerLeft | Kowloon02LowerRight) + (high_jump | (double_jump | dodge | WALL_DASH)))
| Kowloon02UpperRight 
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge))",In Progress,Rework LowerLeft and LowerRight
Kowloon 2,Kowloon02LowerLeft,Kowloon01Right,"((Kowloon02UpperLeft | Kowloon02CenterRight | Kowloon02UpperRight) + (double_jump | dodge | WALL_DASH | high_jump)) 
| (Kowloon02LowerRight + (high_jump | (wall_grab + (dodge | double_jump)))) ",Done,
Kowloon 2,Kowloon02LowerRight,Kowloon03Left,"(Kowloon02CenterRight | Kowloon02UpperRight | Kowloon02UpperLeft) 
| (Kowloon02LowerLeft + high_jump | (wall_grab + (dodge | double_jump)))",Done,
Kowloon 2,Kowloon02UpperLeft,Kowloon39LowerRight,"((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight | Kowloon02UpperRight) 
+ high_jump + (double_jump | dodge | wall_grab)) ",Done,
Kowloon 2,Kowloon02UpperRight,Kowloon05UpperLeft,"((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + high_jump + (double_jump | dodge | WALL_DASH))
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge))",Done,
Kowloon 3,Kowloon03Left,Kowloon02LowerRight,Kowloon03Right,Done,
Kowloon 3,Kowloon03Right,Kowloon06LowerLeft,Kowloon03Left,Done,
Kowloon 4,Kowloon04LeftDoor,Summit01RightDoor,Kowloon04Right,Done,
Kowloon 4,Kowloon04Right,Kowloon43Left,Kowloon04LeftDoor,Done,
Kowloon 5,Kowloon05LowerLeft,Kowloon02CenterRight,Kowloon05Right | Kowloon05UpperLeft,Done,
Kowloon 5,Kowloon05Right,Kowloon06UpperLeft,Kowloon05Left | Kowloon05UpperLeft,Done,
Kowloon 5,Kowloon05UpperLeft,Kowloon02UpperRight,(Kowloon05LowerLeft | Kowloon05Right) + (high_jump | (wall_grab + double_jump)),Done,
Kowloon 6,Kowloon06CenterRight,Kowloon08Left,None,Done,Realise we may be causing recurrsives with levers lmk
Kowloon 6,Kowloon06LowerLeft,Kowloon03Right,"(Kowloon06LowerRight + wall_grab) 
| (Kowloon06UpperLeft | Kowloon06CenterRight | Kowloon06UpperRight)",Done,
Kowloon 6,Kowloon06LowerRight,Kowloon07Left,"((Kowloon06LowerLeft | Kowloon06CenterRight | Kowloon06UpperRight | Kowloon06UpperLeft) 
+ (double_jump | dodge | wall_grab)) ",Done,
Kowloon 6,Kowloon06UpperLeft,Kowloon05Right,"((Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump | double_jump))
| (Kowloon06LowerRight + (double_jump + (wall_grab | high_jump) | (dodge + high_jump))
| (Kowloon06UpperRight + (dodge | double_jump | high_jump))",Done,
Kowloon 6,Kowloon06UpperRight,Kowloon16Left,"((Kowloon06LowerLeft | Kowloon06CenterRight) + ((high_jump + (double_jump | dodge)) | (double_jump + hook)) 
| (Kowloon06LowerRight + (high_jump + (double_jump | dodge)) | (wall_grab + hook + double_jump)) 
| (Kowloon06UpperLeft + ((high_jump + (double_jump | dodge | WALL_DASH)) | (hook + (dodge | double_jump))) ",Done,
Kowloon 6,Kowloon06Right_Lever,,Kowloon06CenterRight,Done,
Kowloon 7,Kowloon07Left,Kowloon06LowerRight,Kowloon07Right | (Kowloon07Lower + Kowloon09Upper_Lever),Done,
Kowloon 7,Kowloon07Lower,Kowloon09Upper,Kowloon09Upper_Lever,Done,Needs access to 09 to hit a Lever
Kowloon 7,Kowloon07Right,Kowloon10Left,Kowloon07Left | (Kowloon07Lower + Kowloon09Upper_Lever),Done,
Kowloon 8,Kowloon08Left,Kowloon06CenterRight,Kowloon08Right,Done,
Kowloon 8,Kowloon08Right,Kowloon15CenterLeft,Kowloon08Left,Done,
Kowloon 9,Kowloon09HiddenRight,Kowloon14Left,Kowloon09Upper + Kowloon09UpperRight_Lever,Done,
Kowloon 9,Kowloon09Upper,Kowloon07Lower,Kowloon09HiddenRight + wall_grab + (double_jump | high_jump),Done,
Kowloon 9,Kowloon09Upper_Lever,,Kowloon09HiddenRight + wall_grab + (double_jump | high_jump),Done,
Kowloon 10,Kowloon10Left,Kowloon07Right,Kowloon10Right + (hook | (WALL_DASH + (double_jump | high_jump))),Done,
Kowloon 10,Kowloon10Lower,Kowloon13UpperLeft,"((Kowloon10Left | Kowloon10Right) + (hook | (double_jump + (high_jump | WALL_DASH))) 
+ pile_attack",Done,
Kowloon 10,Kowloon10Right,Kowloon15LowerLeft,Kowloon10Left + (hook | (double_jump + (high_jump | WALL_DASH))),Done,
Kowloon 13,Kowloon13HiddenLower,Kowloon14HiddenUpper,"(Kowloon13UpperLeft + (wall_grab | double_jump | high_jump | (hook + dodge))) 
| Kowloon13UpperRight",Done,
Kowloon 13,Kowloon13UpperLeft,Kowloon10Lower,(Kowloon13UpperRight | Kowloon13HiddenRight) + (high_jump | (double_jump + wall_grab)),Done,
Kowloon 13,Kowloon13UpperRight,Kowloon15Lower,"(Kowloon13UpperLeft + (high_jump | (wall_grab + ((dodge + double_jump) | double_jump + (hook | wall_charge))))
| (Kowloon13HiddenRight + (high_jump | (wall_grab + (hook | (double_jump + (dodge | wall_charge))))))",In Progress,
Kowloon 14,Kowloon14HiddenUpper,Kowloon13HiddenLower,Kowloon14Left + (hook + double_jump + dodge + (wall_grab | high_jump)),Done,
Kowloon 14,Kowloon14Left,Kowloon09HiddenRight,Kowloon14HiddenUpper + hook + (dodge | double_jump | WALL_DASH),Done,
Kowloon 15,Kowloon15CenterLeft,Kowloon08Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge)))) 
| (Kowloon15LowerRight + (wall_grab | high_jump)) 
| ((Kowloon15CenterLeft | Kowloon15UpperLeft | Kowloon15UpperRight) + (wall_grab | high_jump | dodge | double_jump | hook))",Done,
Kowloon 15,Kowloon15Lower,Kowloon13UpperRight,(Kowloon15LowerLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight | Kowloon15CenterLeft) + Kowloon15Lower_Lever,Done,
Kowloon 15,Kowloon15LowerLeft,Kowloon10Right,"(Kowloon15Lower + (high_jump | wall_grab)) 
| (Kowloon15CenterLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight)",Done,
Kowloon 15,Kowloon15LowerRight,Kowloon18Left,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge))))
| ((Kowloon15CenterLeft) + (hook | double_jump | dodge | high_jump | WALL_DASH))
| Kowloon15UpperLeft | Kowloon15UpperRight",Done,
Kowloon 15,Kowloon15UpperLeft,Kowloon16Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| Kowloon15UpperRight",Done,
Kowloon 15,Kowloon15UpperRight,Kowloon21LowerLeft,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft | Kowloon15UpperLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| (Kowloon15UpperLeft + (high_jump | (wall_grab + (hook + (dodge | double_jump)) | (double_jump + dodge))))",Done,
Kowloon 15,Kowloon15Lower_Lever,,Kowloon15Lower + (wall_grab | high_jump),Done,
Kowloon 16,Kowloon16Left,Kowloon06UpperRight,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Right + (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + (double_jump | high_jump)))",Done,
Kowloon 16,Kowloon16Right,Kowloon15UpperLeft,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Right + (hook | (double_jump + WALL_DASH)))",Done,
Kowloon 16,Kowloon16Upper,Kowloon23Lower,"(Kowloon16Left + (high_jump + double_jump + dodge) | (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + double_jump))
| (Kowloon16Right + (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + (double_jump | high_jump)))",Done,
Kowloon 18,Kowloon18Left,Kowloon15LowerRight,None,Done,
Kowloon 21,Kowloon21LowerLeft,Kowloon15UpperRight,None,Unsure,Has a Gate that can only be unlocked by beating the gauntlets below
Kowloon 21,Kowloon21UpperLeft,Kowloon24Right,Kowloon21LowerLeft + (wall_grab | high_jump),Done,
Kowloon 23,Kowloon23Lower,Kowloon16Upper,Kowloon23Upper + pile_attack,Done,
Kowloon 23,Kowloon23Upper,Kowloon24Lower,None,Done,slam floor prevents access up
Kowloon 24,Kowloon24Left,Kowloon25Right,Kowloon24Right | Kowloon24Upper,Done,
Kowloon 24,Kowloon24Lower,Kowloon23Upper,"(Kowloon24Upper 
| (Kowloon24Left | Kowloon24Right) + (hook | (wall_grab + double_jump)))
+ pile_attack",Done,
Kowloon 24,Kowloon24Right,Kowloon21UpperLeft,Kowloon24Left | Kowloon24Upper,Done,
Kowloon 24,Kowloon24Upper,Kowloon30Lower,(Kowloon24Left | Kowloon24Right) + hook,Done,
Kowloon 25,Kowloon25Left,Kowloon26Right,Kowloon25Right + (wall_grab + (double_jump | dodge)) | (double_jump + high_jump),Done,
Kowloon 25,Kowloon25Right,Kowloon24Left,Kowloon25Left + (wall_grab | dodge | high_jump | double_jump),Done,
Kowloon 26,Kowloon26Left,Kowloon38LowerRight,Kowloon26Right,Done,
Kowloon 26,Kowloon26Right,Kowloon25Left,Kowloon26Left,Done,
Kowloon 28,Kowloon28Left,Kowloon47Right,Kowloon28Right,Done,
Kowloon 28,Kowloon28Right,Kowloon34UpperLeft,Kowloon28Left,Done,
Kowloon 29,Kowloon29Left,Kowloon30LowerRight,None,Done,
Kowloon 30,Kowloon30CenterLeft,Kowloon41UpperRight,"(Kowloon30LowerLeft + (high_jump | hook)) 
| (Kowloon30LowerRight + (high_jump + hook) | (double_jump + (WALL_DASH | (wall_grab + hook))))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| Kowloon30UpperLeft
| (KowloonCenterRight + (hook | (high_jump + double_jump + WALL_DASH)))
| Kowloon30UpperRight + (WALL_DASH | hook)",Done,
Kowloon 30,Kowloon30CenterRight,Kowloon33Left,"((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump + WALL_DASH))) 
| (Kowloon30LowerRight + (high_jump |  (double_jump + wall_grab + hook))) 
| (Kowloon30LeftUpper + (WALL_DASH | hook))
| (Kowloon30UpperRight + (double_jump | hook | dodge)) 
| (Kowloon30Lower + hook) ",Done,
Kowloon 30,Kowloon30Lower,Kowloon24Upper,"(Kowloon30LowerLeft + Kowloon30CenterLeft) + (hook | (double_jump + high_jump + (dodge | WALL_DASH)))
| (Kowloon30LowerRight + ((wall_grab + double_jump + (hook | wall_dash)) | (high_jump + (hook | double_jump)))
| (Kowloon30CenterRight + (hook | (double_jump + dodge) | (high_jump + double_jump)))
| (Kowloon30UpperLeft + (dodge | hook | high_jump | WALL_DASH))
| (Kowloon30UpperRight + (double_jump | dodge | hook | WALL_DASH | high_jump))",Done,
Kowloon 30,Kowloon30LowerLeft,Kowloon41LowerRight,"(Kowloon30LowerRight + (double_jump + wall_grab + (hook | wall_charge)) | (high_jump + hook)) 
| (Kowloon30CenterRight + Kowloon30UpperRight) + (hook | WALL_DASH)
| (Kowloon30Lower + hook | (high_jump + double_jump + dodge))
| (Kowloon30CenterLeft | Kowloon30UpperLeft)",Done,
Kowloon 30,Kowloon30LowerRight,Kowloon29Left,"(Kowloon30LowerLeft + (hook | (high_jump + double_jump + WALL_DASH))) 
| (Kowloon30CenterLeft + (hook | (double_jump + WALL_DASH)))
| (Kowloon30UpperLeft + (hook | WALL_DASH))
| (Kowloon30Lower + (hook | (high_jump + dodge + double_jump)))
| (Kowloon30UpperRight | Kowloon30CenterRight)",Done,
Kowloon 30,Kowloon30UpperLeft,Kowloon31Right,"((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump))) 
| (Kowloon30LowerRight + (double_jump + wall_grab + (hook | (high_jump + wall_charge))))
| (Kowloon30CenterRight + (hook | (high_jump + double_jump + WALL_DASH)))
| (Kowloon30UpperRight + (hook | WALL_DASH)) 
| (Kowloon30Lower + (hook | (high_jump + dodge + double_jump)))",Done,
Kowloon 30,Kowloon30UpperRight,Kowloon32Left,"(Kowloon30LowerLeft + (hook | (high_jump + double_jump + WALL_DASH))) 
| (Kowloon30CenterLeft + (hook | (double_jump + high_jump + WALL_DASH))) 
| (Kowloon30UpperLeft + (hook | WALL_DASH))
| (Kowloon30LowerRight + (double_jump + wall_grab + (hook | (wall_charge + high_jump))))
| (Kowloon30CenterRight + (hook | (high_jump + double_jump)))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))",Done,
Kowloon 31,Kowloon31Right,Kowloon30UpperLeft,None,Done,
Kowloon 32,Kowloon32Left,Kowloon30UpperRight,None,Done,
Kowloon 33,Kowloon33Left,Kowloon30CenterRight,Kowloon33Right + Kowloon34Lower_Lever,Done,
Kowloon 33,Kowloon33Right,Kowloon34LowerLeft,Kowloon33Left + Kowloon34Lower_Lever,Done,
Kowloon 34,Kowloon34CenterLeft,Kowloon46Right,"(Kowloon34Right | Kowloon34UpperLeft) 
| (Kowloon34LowerLeft + Kowloon34Lower_Lever) + (high_jump | double_jump)) ",In Progress,
Kowloon 34,Kowloon34LowerLeft,Kowloon33Right,Kowloon34LowerRight | Kowloon34CenterLeft | Kowloon34UpperLeft,Done,
Kowloon 34,Kowloon34Right,Kowloon35Left,(Kowloon34CenterLeft | Kowloon34UpperLeft) | (Kowloon34LowerLeft + Kowloon34Lower_Lever),Done,
Kowloon 34,Kowloon34UpperLeft,Kowloon28Right,"(Kowloon34Right | Kowloon34UpperLeft) 
| (Kowloon34LowerLeft + Kowloon34Lower_Lever) + (high_jump | double_jump)) ",In Progress,
Kowloon 34,Kowloon34Lower_Lever,,Kowloon34CenterLeft | Kowloon34UpperLeft | Kowloon34Right,Done,
Kowloon 35,Kowloon35CenterLowerRight,Kowloon48Right,Kowloon35CenterRight,Done,
Kowloon 35,Kowloon35CenterRight,Kowloon49Left,Kowloon35CenterLowerRight,Done,
Kowloon 35,Kowloon35CenterUpperRight,Kowloon50Left,Kowloon35UpperRight,Done,
Kowloon 35,Kowloon35Left,Kowloon34Right,Kowloon35LowerRight,Done,
Kowloon 35,Kowloon35LowerRight,Kowloon37Left,Kowloon35Left,Done,
Kowloon 35,Kowloon35UpperRight,Kowloon51Left,Kowloon35CenterUpperRight,Done,
Kowloon 36,Kowloon36CenterLeft,Kowloon49Right,Kowloon36CenterUpperLeft,Done,
Kowloon 36,Kowloon36CenterLowerLeft,Kowloon48Right,"Kowloon36LowerLeft 
| ((Kowloon36UpperLeft | Kowloon36Right) + Kowloon36Left_Lever)",Done,
Kowloon 36,Kowloon36CenterUpperLeft,Kowloon50Right,Kowloon36CenterLeft,Done,
Kowloon 36,Kowloon36LowerLeft,Kowloon37Right,Kowloon36Right + Kowloon36Left_Lever,Done,
Kowloon 36,Kowloon36Right,Paradise01Left,"Kowloon36UpperLeft 
| (Kowloon36LowerLeft + Kowloon36Left_Lever)",Done,
Kowloon 36,Kowloon36UpperLeft,Kowloon51Right,((Kowloon36Right | (Kowloon36LowerLeft + Kowloon36Left_Lever)) + (high_jump | (wall_grab + dodge + double_jump))),Done,
Kowloon 36,Kowloon36Left_Lever,,(Kowloon36UpperLeft | Kowloon36Right) + (double_jump | high_jump),Done,
Kowloon 37,Kowloon37Left,Kowloon35LowerRight,Kowloon37Right,Done,
Kowloon 37,Kowloon37Right,Kowloon36LowerLeft,Kowloon37Left,Done,
Kowloon 38,Kowloon38CenterRight,Kowloon44Left,"(Kowloon38Left + (hook | double_jump | dodge | WALL_DASH))
| Kowloon38UpperRight 
| (Kowloon38Lower + (high_jump | (wall_grab + (double_jump + dodge) | (hook + (double_jump | dodge)))))",Unsure,
Kowloon 38,Kowloon38Left,Kowloon40Right,"((Kowloon38UpperRight + (Kowloon42Left + WALL_DASH))
| (Kowloon38CenterRight + (high_jump | (hook + (dodge | double_jump)) | (wall_grab + double_jump + dodge)))
| (Kowloon38LowerRight + (high_jump | (hook + wall_grab + (dodge | double_jump) | (wall_grab + dodge + double_jump)))
+ Kowloon40Right_Lever)",Unsure,Can be reached from 44 with wall dash and djump
Kowloon 38,Kowloon38LowerRight,Kowloon26Left,"(Kowloon38Left + (hook | double_jump | dodge | WALL_DASH))
| (Kowloon38CenterRight | Kowloon38UpperRight)",Unsure,
Kowloon 38,Kowloon38UpperRight,Kowloon42Left,Kowloon40Right + WALL_DASH,Unsure,Need to break wall from 40 using wall dash
Kowloon 39,Kowloon39LowerRight,Kowloon02UpperLeft,Kowloon39UpperRight,Done,
Kowloon 39,Kowloon39UpperRight,Kowloon40Left,Kowloon39LowerRight + (high_jump + hook + (double_jump | dodge)),Done,
Kowloon 40,Kowloon40Left,Kowloon39UpperRight,Kowloon40Right,Done,
Kowloon 40,Kowloon40Right,Kowloon38Left,Kowloon40Left + (wall_grab | high_jump),Done,
Kowloon 40,Kowloon40Right_Lever,,Kowloon40Left + (wall_grab | high_jump),Done,
Kowloon 41,Kowloon41LowerRight,Kowloon30LowerLeft,Kowloon41UpperRight,Done,
Kowloon 41,Kowloon41UpperRight,Kowloon30CenterLeft,Kowloon41LowerRight + (high_jump | double_jump),Done,
Kowloon 42,Kowloon42Left,Kowloon38UpperRight,Kowloon42Upper + Kowloon42Upper_Lever,Done,
Kowloon 42,Kowloon42Upper,Kowloon43Lower,Kowloon42Left + high_jump,Done,
Kowloon 42,Kowloon42Upper_Lever,,Kowloon42Left + high_jump,Done,
Kowloon 43,Kowloon43Left,Kowloon04Right,Kowloon43Lower,Done,
Kowloon 43,Kowloon43Lower,Kowloon42Upper,Kowloon43Left,Done,
Kowloon 44,Kowloon44Left,Kowloon38CenterRight,Kowloon44Right + (high_jump | wall_grab),Done,Requires taking quiet a bit of damage with just these 2 conditions
Kowloon 44,Kowloon44Right,Kowloon45Left,Kowloon44Left + (high_jump | wall_grab),Done,
Kowloon 45,Kowloon45Left,Kowloon44Right,"(Kowloon45Right + (high_jump + (dodge | double_jump)) | (wall_grab + (double_jump | dodge | wall_charge)))
| Kowloon45Upper",Done,
Kowloon 45,Kowloon45Right,Kowloon46Left,"(Kowloon45Left + (high_jump + (dodge | double_jump)) | (wall_grab + (double_jump | dodge | wall_charge)))
| Kowloon45Upper",Done,
Kowloon 45,Kowloon45Upper,Kowloon47Lower,(Kowloon45Left | Kowloon45Right) + ((wall_grab | high_jump) + (double_jump | dodge)),Done,
Kowloon 46,Kowloon46Left,Kowloon45Right,Kowloon46Right,Done,
Kowloon 46,Kowloon46Right,Kowloon34CenterLeft,Kowloon46Left,Done,
Kowloon 47,Kowloon47Lower,Kowloon45Upper,Kowloon47Right,Done,
Kowloon 47,Kowloon47Right,Kowloon28Left,Kowloon47Lower,Done,
Kowloon 48,Kowloon48Left,Kowloon35CenterLowerRight,Kowloon48Right,Done,
Kowloon 48,Kowloon48Right,Kowloon36CenterLowerLeft,Kowloon48Left,Done,
Kowloon 49,Kowloon49Left,Kowloon35CenterRight,Kowloon49Right,Done,
Kowloon 49,Kowloon49Right,Kowloon36CenterLeft,Kowloon49Left,Done,
Kowloon 50,Kowloon50Left,Kowloon35CenterUpperRight,Kowloon50Right,Done,
Kowloon 50,Kowloon50Right,Kowloon36CenterUpperLeft,Kowloon50Left,Done,
Kowloon 51,Kowloon51Left,Kowloon35UpperRight,Kowloon51Right,Done,
Kowloon 51,Kowloon51Right,Kowloon36UpperLeft,Kowloon51Left,Done,
Labo 1,Labo01Left,Labo02Right,"Labo01Upper | 
(Labo01Right + (high_jump | (double_jump + wall_grab)))",Done,
Labo 1,Labo01Right,Labo03Left,Labo01Upper | Labo01Left,Done,
Labo 1,Labo01Upper,Labo09Lower,"(Labo01Left | Labo01Right) 
+ (high_jump | (double_jump + wall_grab))",Done,
Labo 2,Labo02Right,Labo01Left,None,Done,
Labo 3,Labo03Left,Labo01Right,Labo03Right + Labo03Left_Lever,Done,
Labo 3,Labo03Right,Labo14LowerLeft,Labo03Left + Labo03Right_Lever,Done,
Labo 3,Labo03Left_Lever,,Labo03Left,Done,
Labo 3,Labo03Right_Lever,,Labo03Right,Done,
Labo 4,Labo04Right,Labo14UpperLeft,Labo04Upper + dive,Done,
Labo 4,Labo04Upper,Labo05Lower,Labo04Right + (high_jump | (double_jump + wall_grab)),Done,
Labo 5,Labo05Lower,Labo04Upper,None,Done,
Labo 5,Labo05LowerLeft,Labo09LowerRight,Labo05Lower | ((Labo05LowerRight | Labo05UpperRight | Labo05UpperLeft) + Labo05Lower_Lever),Done,
Labo 5,Labo05LowerRight,Labo08LowerLeft,Labo05Lower | (Labo05LowerLeft + Labo05Lower_Lever) | Labo05UpperRight | Labo05UpperLeft,Done,
Labo 5,Labo05Upper,Labo20Lower,"Labo05Lower + high_jump
| (Labo05UpperLeft | Labo05UpperRight) + ((double_jump + wall_grab | high_jump) + Labo05Upper_Lever)
| (Labo05LowerRight + (high_jump + Labo05Upper_Lever))
| (Labo05LowerLeft + high_jump + Labo05Upper_Lever + Labo05Lower_Lever)",Done,
Labo 5,Labo05UpperLeft,Labo09UpperRight,"Labo05UpperRight + (double_jump | (wall_grab + dodge) | WALL_DASH | high_jump)
| (Labo05LowerRight + high_jump)
| (Labo05LowerLeft + Labo05Lower_Lever + high_jump)",Done,
Labo 5,Labo05UpperRight,Labo08CenterLeft,"Labo05UpperLeft + (double_jump | (wall_grab + dodge) | WALL_DASH | high_jump)
| (Labo05LowerRight + high_jump)
| (Labo05LowerLeft + Labo05Lower_Lever + high_jump)",Done,
Labo 5,Labo05Lower_Lever,,Labo05Lower,Done,
Labo 5,Labo05Upper_Lever,,Labo05Lower + high_jump,Done,
Labo 6,Labo06CenterLeft,Labo15Right,"Labo06UpperLeft
| ((Labo06Upper + pile_attack) | (Labo06LowerLeft | Labo06Lower)) + high_jump ",Done,
Labo 6,Labo06Lower,Garden08Upper,Labo06UpperLeft | Labo06LowerLeft | Labo06CenterLeft | (Labo06Upper + pile_attack),Done,This room can be accessed from Upper but needs slam from room above
Labo 6,Labo06LowerLeft,Labo07Right,Labo06Lower | Labo06UpperrLeft | Labo06CenterLeft | (Labo06Upper + pile_attack),Done,
Labo 6,Labo06Upper,Labo19LowerRight,None,Done,
Labo 6,Labo06UpperLeft,Labo24Right,"((Labo06LowerLeft | Labo06Lower) + high_jump) 
| (Labo06CenterLeft + (high_jump | wall_grab + (double_jump (dodge | WALL_DASH))
| (Labo06Upper + pile_attack + (WALL_DASH | wall_grab + double_jump + dodge))",Done,
Labo 7,Labo07Left,Labo08LowerRight,Labo07Right | Labo07Upper,Done,
Labo 7,Labo07Right,Labo06LowerLeft,Labo07Left | Labo07Upper,Done,
Labo 7,Labo07Upper,Labo16Lower,"(Labo07Left | Labo07Right) 
+ high_jump",Done,
Labo 8,Labo08CenterLeft,Labo05UpperRight,"Labo08CenterRight 
| (Labo08Upper + pile_attack + (high_jump | (double_jump + wall_grab)))",Done,
Labo 8,Labo08CenterRight,Labo16Left,"Labo08CenterLeft 
| (Labo08Upper + pile_attack + (high_jump | (double_jump + wall_grab)))",Done,
Labo 8,Labo08Lower,Labo14Upper,Labo08Upper + pile_attack,Done,
Labo 8,Labo08LowerLeft,Labo05LowerRight,"Labo08LowerRight 
| (Labo08Upper + pile_attack)",Done,
Labo 8,Labo08LowerRight,Labo07Left,"Labo08LowerLeft 
| (Labo08Upper + pile_attack)",Done,
Labo 8,Labo08Upper,Labo19LowerLeft,None,Done,
Labo 8,Labo08UpperLeft,Labo26Right,"Labo08UpperRight 
| (Labo08Upper + pile_attack + (high_jump | (double_jump + wall_grab)))",Done,
Labo 8,Labo08UpperRight,Labo24Left,"Labo08UpperLeft 
| (Labo08Upper + pile_attack + (high_jump | (double_jump + wall_grab)))",Done,
Labo 9,Labo09Left,Labo10LowerRight,"(Labo09Right | Labo09UpperRight) 
| (Labo09Upper + pile_attack)",Done,
Labo 9,Labo09Lower,Labo02Right,Labo09Upper + pile_attack,Done,
Labo 9,Labo09LowerRight,Labo05LowerLeft,"(Labo09Left | Labo09UpperRight) 
| (Labo09Upper + pile_attack)",Done,
Labo 9,Labo09Upper,Labo23Lower,None,Done,
Labo 9,Labo09UpperRight,Labo05UpperLeft,"(Labo09Left | Labo09LowerRight | (Labo09Upper + pile_attack))
+ (high_jump | (double_jump + wall_grab + (wall_charge | dodge)))",Done,
Labo 10,Labo10UpperLeft,Labo25UpperRight,"(Labo10LowerRight | Labo10CenterRight + high_jump) 
| Labo10UpperRight",Done,
Labo 10,Labo10LowerRight,Labo09Left,"(Labo10UpperRight | Labo10CenterRight) 
| (Labo10UpperLeft + (high_jump | wall_grab))",Done,
Labo 10,Labo10CenterRight,Labo23Left,"((Labo10LowerRight | Labo10CenterRight) + high_jump) 
| (Labo10UpperLeft + (high_jump | (wall_grab + double_jump)))
| Labo10UpperRight",Done,
Labo 10,Labo10UpperRight,Labo11Left,"(Labo10LowerLeft | Labo10LowerRight | Labo10CenterRight) + high_jump
| (Labo10UpperLeft + (high_jump | (wall_grab + (double_jump | dodge))))",Done,
Labo 10,Labo10LowerLeft,Labo25LowerRight,,Unsure,This requires wall dash from 4 rooms back
Labo 10,Labo10CenterLeft,Labo22Right,,Unsure,Requires wall dash from labo21
Labo 11,Labo11Left,Labo10UpperRight,Labo11Right + (high_jump | (double_jump + WALL_DASH + Labo12)),Unsure,Needs access to Labo12 for WALL_DASH
Labo 11,Labo11LowerRight,Labo26Left,None,Done,
Labo 11,Labo11UpperRight,Labo12Left,Labo11Left + (high_jump | (wall_grab + double_jump)),Done,
Labo 12,Labo12Left,Labo11UpperRight,Labo12Lower | Labo12Right,Done,
Labo 12,Labo12Lower,Labo26Upper,Labo12Left | Labo12Right,Done,
Labo 12,Labo12Right,Labo13Left,(Labo12Left | Labo12Lower) + (high_jump | (double_jump + wall_grab)),Done,
Labo 13,Labo13Left,Labo12Right,Labo13Right + (high_jump | double_jump),Done,
Labo 13,Labo13Right,Labo19Left,Labo13Left + (double_jump | (wall_grab + (wall_charge | dodge))),Done,
Labo 14,Labo14LowerLeft,Labo03Right,Labo14Right | Labo14UpperLeft | Labo14Upper,Done,
Labo 14,Labo14Right,Labo17Left,"(Labo14LowerLeft | Labo14Upper) + (dive | (double_jump + WALL_DASH))
 | (Labo14UpperLeft + (double_jump + dodge | WALL_DASH))",Done,
Labo 14,Labo14Upper,Labo08Lower,(Labo14LowerLeft | Labo14UpperLeft | Labo14Right) + (high_jump + wall_grab + dodge + double_jump),Done,
Labo 14,Labo14UpperLeft,Labo04Right,(Labo14Upper | Labo14LowerLeft | Labo14Right) + ((WALL_DASH | (double_jump + dodge)) + dive),Done,
Labo 15,Labo15Left,Labo16Right,Labo15Right | Labo15Upper,Done,
Labo 15,Labo15Right,Labo06CenterLeft,Labo15Left | Labo15Upper,Done,
