Room,Name,Actor,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Forest 11,Forest 11 - Magic Vial,Forest_001_Zone_011.BP_Interactable_AddItem_C_1,"stats[""passive_slot_s""]",Forest11Right,Done,,N/A,,
Forest 19,Forest 19 - Beast Horn Ornanment,Forest_001_Zone_019.BP_Interactable_AddItem_C_1,"passives[""damage_cut_maxhp_1""]",(Forest19LeftDoor | Forest19Right) + (high_jump | snow | double_jump + (dodge | WALL_DASH | STALL | moon | flower) | dodge + grav + (moon | flower | STALL) | WALL_DASH + (axe | moon | (sword | scythe | flower) + grav)),Done,hardest option here is probably double_jump + flower,Finished,,
Forest 20,Forest 20 - Spy's Letter,Forest_001_Zone_020.BP_Interactable_AddItem_C_0,"tips[""tip_secretletter_01""]","Forest20Left + (high_jump | double_jump | snow | moon | (STALL | flower) + (dodge | grav | WALL_DASH))
| Forest20Right + (high_jump | double_jump | snow | moon | (axe | scythe) + grav | sword + grav + (flower | wall_grab | dodge | dash_charge) | dash_charge + (STALL + dodge | WALL_DASH | flower) | axe + ((flower | wall_grab) + dodge | wall_grab + flower) | FLOWER2 + wall_grab)",Done,"From left, WALL_DASH from just below the dash_charge wall

This is one of the only places that has real dash_charge logic",Finished,,
Forest 20,Forest 20 - Charmed Fragment,Forest_001_Zone_020.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","Forest20Left + (high_jump | (double_jump | moon) + (dodge | WALL_DASH) | WALL_DASH + (STALL | flower) | axe + wall_grab + dodge | STALL + grav + (wall_grab + lazer | dodge) | snow | moon + (STALL | double_jump) | FLOWER2 + (wall_grab | STALL) | double_jump + flower) 
| Forest20Right + (high_jump | (double_jump | moon) + (dodge | WALL_DASH) | dash_charge + WALL_DASH | axe + wall_grab + dodge | STALL + grav + (wall_grab + lazer | dodge) | snow | moon + (STALL | double_jump) | FLOWER2 + (wall_grab | STALL) | double_jump + flower)",Done,"Both are very similar, however each side has unique WALL_DASH options",Finished,,double check lazer -> REIBOLG
Forest 20,Forest 20 - Grimoire,Forest_001_Zone_020.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]","(Forest20Left + (high_jump | double_jump | snow | moon | (flower | STALL) + (grav | dodge)) 
| Forest20Right) 
+ dash_charge",Done,"Warning: Forest20Right + dodge + dash_charge does NOT work, but I think its impossible to find yourself in this situation without random start, which may be excluded due to Forest19Lever door?",Finished,,
Forest 23,Forest 23 - Materials,Forest_001_Zone_023.BP_Interactable_AddItem_C_1,"currencies[""Default""]",Forest23Left + dash_charge + (high_jump | double_jump | (flower | STALL) + (grav | dodge) | moon | snow),Done,"can also WALL_DASH from Forest20Right - it also requires height of some kind, but ReiBlast would work in that scenario.",Finished,,
Forest 23,Forest 23 - Cassia's Grimoire,Forest_001_Zone_023.BP_Interactable_AddItem_C_3,"tips[""tip_cassiabook_01""]",Forest23Left + dash_charge,Done,,N/A,,
Forest 23,Forest 23 - Incomplete Gear,Forest_001_Zone_023.EVT_ev_n_Levy_Treasure2_002,"passives[""reduce_gravity""]",Forest23Left + quest_stone,Done,,N/A,,
Forest 23,Forest 23 - Hati's Charge,Forest_001_Zone_023.EVT_ev_s_5210_Fenris_Upgrade,"aptitudes[""dash_charge""]",Forest23Left,Done,,N/A,,
Garden 1,Garden 1 - Charmed Fragment 1,Garden_001_Zone_001.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","Garden01Right + (high_jump | wall_grab + (lazer + grav + (double_jump | RONIN | STALL) | double_jump + dodge + STALL) | WALL_DASH + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge)) 
| Garden01Left + (high_jump | wall_grab + (double_jump | RONIN | STALL) + grav + lazer | double_jump + dodge + STALL | grav + lazer + snow + (double_jump | dodge) | STALL + grav + lazer + (double_jump | dodge | snow) | WALL_DASH + (double_jump | STALL | moon | snow | FLOWER2))",Unsure,"Right to Left Transition requirements:
(high_jump | wall_grab + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge)) 

Currently marking as Unsure, as there is Garden12Left + WALL_DASH + scythe + dodge that works; thinking may need to add it, but not a huge fan

Additionally, this one REALLY has some suspect ReiBlast, I've bolded the ReiBlast scenarios that quite frankly will not work with Blaster, and will need to be split.",Finished,"Goal: find all possibilities from LEFT, then merge into base requirements from Rights wall_grab

BOTH : wall_grab + (double_jump | RONIN | STALL) + grav + ReiBlast - dont think it works with Blaster , or a lot of other options either

axe + grav + dodge + flower + ReiBlast (current logic this is overkill, but works with Blaster)

LEFT : high_jump | wall_grab + (double_jump | RONIN | STALL) + grav + ReiBlast | double_jump + dodge + STALL | grav + ReiBlast + snow + (double_jump | dodge) | STALL + grav + ReiBlast + (double_jump | dodge | snow) | WALL_DASH + (double_jump | STALL | moon | snow | FLOWER2)

RIGHT: high_jump | wall_grab + (ReiBlast + grav + (double_jump | RONIN | STALL) | double_jump + dodge + STALL) | WALL_DASH + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge) ","double check lazer -> REIBOLG
May need to split ReiBlast if Blaster is not possible."
Garden 1,Garden 1 - Charmed Fragment 2,Garden_001_Zone_001.BP_Interactable_AddItem_C_2,"stats[""hp_up_s""]","Garden01Right + (high_jump | wall_grab + (double_jump + (dodge | wall_charge | flower | STALL) | FLOWER2 | moon | snow | STALL + grav | axe + dodge))
| Garden01Left",Unsure,"See comment on line 65; this is marked as Done, but if need to add Garden12Left WALL_DASH option, this will need to be updated as well.

Also marking as unsure due to Left - this is pretty easy using sprint + base dodge-roll , or grav + base dodge-roll

for now, i've removed Left logic; if need to add back:  + (high_jump | double_jump | dodge | WALL_DASH | STALL | RONIN | REIBOLG)",Finished,READ COMMENT,READ COMMENT
Garden 1,Garden 1 - Materials,Garden_001_Zone_001.BP_Interactable_AddItem_C_4,"currencies[""Default""]","(Garden01Right + (high_jump | wall_grab + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge))
| Garden01Left)
+ pile_attack ",Done,"See comment on line 65; this is marked as Done, but if need to add Garden12Left WALL_DASH option, this will need to be updated as well.

Left works with just sprint / base dodge, previous logic was:  + (high_jump | wall_grab | double_jump | dodge | STALL | RONIN | REIBOLG)",Finished,READ COMMENT,READ COMMENT
Garden 1,Garden 1 - Bloodstained Stuffed Toy,Garden_001_Zone_001.BP_Interactable_TreasureBox_C_1,"passives[""damage_cut_debuffed_1""]","Garden01Right + (high_jump | wall_grab + (double_jump | FLOWER2 | moon | snow | STALL + grav | axe + dodge)) 
| Garden01Left",Unsure,"See comment on line 65; this is marked as Done, but if need to add Garden12Left WALL_DASH option, this will need to be updated as well.

Unsure due to re-evaluating with base dodge-roll movement; high_jump logic from Right and Left logic major simplifications

Original Right high_jump : high_jump + (dodge | double_jump | wall_grab | STALL | RONIN | ReiBlast)

Left also works simply with base roll: NO movement required
Original Left:  Garden01Left + (dodge | double_jump | STALL | RONIN | ReiBlast | wall_grab + (high_jump | hook)",Finished,,
Garden 2,Garden 2 - Sorcerer's Gauntlet,Garden_001_Zone_002.BP_Interactable_TreasureBox_C_1,"passives[""debuff_damage_up_b_1""]","(Garden02Right | Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever)) + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | lazer) | scythe + double_jump + (dodge + snow | grav) | grav + (axe | sword) + double_jump + RONIN | axe + double_jump + dodge | sword + grav + double_jump + dodge | (axe  | scythe) + grav + dodge + RONIN | sword + grav + dodge + snow + lazer)
| Garden02Left + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon)
| Garden02center_lever + Garden02left_lever + Garden02lowerleft_lever + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | lazer) | scythe + double_jump + (dodge + snow | grav) | grav + (axe | sword) + double_jump + RONIN | axe + double_jump + dodge | sword + grav + double_jump + dodge | (axe  | scythe) + grav + dodge + RONIN | sword + grav + dodge + snow + lazer))
| Garden02LowerLeft + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon)
| Garden02center_lever + Garden02left_lever + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | lazer) | scythe + double_jump + (dodge + snow | grav) | grav + (axe | sword) + double_jump + RONIN | axe + double_jump + dodge | sword + grav + double_jump + dodge | (axe  | scythe) + grav + dodge + RONIN | sword + grav + dodge + snow + lazer))",Unsure,"Marking as unsure as, from Right, it is possible to get this check with wall_grab alone; you need to jump AFTER holding left, there is a small window to jump off the wall and make it to the portal.

Additionally, currently the Left based logic either assumes NO levers, or ALL the levers; might need to add logic without Center Lever.","Finished - TENTATIVELY / a little rushed

(Garden04Right | Garden03UpperLeft + (high_jump + (double_jump + (AXE | SCYTHE) | (reduce_gravity + SWORD)) | (wall_grab + (SNOW | MOON) + ((STALL + reduce_gravity) | double_jump))))) | (Garden09Left + (wall_grab | high_jump | (STALL3 + reduce_gravity) | (STALL + double_jump + reduce_gravity + (MOON | SNOW | FLOWER)) | ((SCYTHE | AXE) + dodge + reduce_gravity + (SNOW | MOON | FLOWER))","Note from Right: the only requirement is being able to jump into the single portal

Garden02Right + (high_jump | wall_grab + (double_jump | dodge | wall_charge | STALL | RONIN | ReiBlast) | scythe + double_jump + (dodge + snow | grav) | grav + (axe | sword) + double_jump + RONIN | axe + double_jump + dodge | sword + grav + double_jump + dodge | (axe  | scythe) + grav + dodge + RONIN | sword + grav + dodge + snow + ReiBlast)

Left and Lower Left, I might only do non-lever logic? ie. high_jump + double_jump + STALL + grav stuff to reach Treasure C3

there is high_jump + axe + double_jump, but i realllly dont wanna split all the STALL logic (its not that bad tbh but complain)

Left/LowerLeft I plan to keep same as Right as well TBH, just maybe have the lever requirements.

Skipping LowerRight! (its technically going to be exactly the same as Right, regardless of which lever)

Technically, all of the options include:
Right
LowerRight (regardless of which side lever, its the same either way!)
LowerLeft , LowerLeft + LeftLever(8), LowerLeft + LeftLever(8) + CenterLeftLever(6)
Left, Left + LeftLever(8), Left + LeftLever(8) + LowerLeftLever(12), Left + LeftLever(8) + CenterLeftLever(6), Left + LeftLever(8) + CenterLeftLever(6) + LowerLeftLever(12)

Note, Left + LowerLeftLever(12) is technically another option, but its going to be the same as Left.

Left logic is super annoying with levers because there are 3? flows - goal is to just hit the bottom portal, then will have same requirements as RIGHT:
min-wall_grab
hook (+- wall_grab) (hook + (FLOWER2 | ReiBlast + (flower | grav)) ugh
no hook or wall_grab to grab lowest platform - double_jump + (snow | moon + ReiBlast)","double check lazer -> REIBOLG

There is a lever we could add that will skip hook requirement

Added this ^ comment into suggested logic... hard to explain though; I've currently dubbed it Center_Lever for reference

CenterLever may need to be defined somewhere if we expect it to be included in logic?

CenterLever Logic:
No requirements : Right
No requirements : LowerRight + LowerRight_LeftLever
LowerRight + LowerRight_RightLever + (high_jump | double_jump + wall_grab)
Left + Left_Lever + (high_jump | double_jump + wall_grab)
(Left | LowerLeft + LowerLeft_Lever) + Left_Lever + ((hook | wall_grab) + double_jump | hook + wall_grab + dodge)"
Garden 2,Garden 2 - Chiron,Garden_001_Zone_002.BP_Interactable_TreasureBox_C_3,"assists[""assist_009""]","(Garden02Right | Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever)) + (high_jump | wall_grab + double_jump + (STALL + grav | snow) | double_jump + grav + STALL + moon | double_jump + STALL + grav + (flower | moon) | WALL_DASH + (double_jump + dodge | snow | moon + (STALL | lazer | double_jump | dodge) | flower + (grav | double_jump) | grav + (axe | scythe | sword + (dodge | lazer))))
| Garden02Left + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon) | Garden02center_lever + Garden02left_lever + Garden02lowerleft_lever + (high_jump | wall_grab + double_jump + (STALL + grav | snow) | double_jump + grav + STALL + moon | double_jump + STALL + grav + (flower | moon) | WALL_DASH + (double_jump + dodge | snow | moon + (STALL | lazer | double_jump | dodge) | flower + (grav | double_jump) | grav + (axe | scythe | sword + (dodge | lazer)))))
| Garden02LowerLeft + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon) | Garden02center_lever + Garden02left_lever + (high_jump | wall_grab + double_jump + (STALL + grav | snow) | double_jump + grav + STALL + moon | double_jump + STALL + grav + (flower | moon) | WALL_DASH + (double_jump + dodge | snow | moon + (STALL | lazer | double_jump | dodge) | flower + (grav | double_jump) | grav + (axe | scythe | sword + (dodge | lazer)))))",Unsure,"Similar to above, currently the Left based logic either assumes NO levers, or ALL the levers; might need to add logic without Center Lever.",Finished - TENTATIVELY / a little rushed,"Sigh why I do this; LIST of Garden2 Levers
C0 : is labeled 13 in screenshot; required for treasure box c1
C1: lever for Student1 door
C4 : lever to enter area for Student1 from vertical drop
C5 : lever for LowerRight Right side
C6 : dubbed ""CenterLever"" , supports unique Left scenarios
C7 : lever for LowerRight Left side
C8 : this lever required to enter from Left areas
C10: lever for C8 access
C11: lever for Student3 door
C12: lever for exiting LowerLeft",double check lazer -> REIBOLG
Garden 3,Garden 3 - Grimoire,Garden_001_Zone_003.BP_Interactable_AddItem_C_1,"stats[""shop_line_up""]","Garden03UpperLeft + (high_jump | snow | flower | WALL_DASH | REIBOLG | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge) | double_jump + dodge)
| Garden03LeftUpper + (high_jump | snow | flower | WALL_DASH + (double_jump | lazer) | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge | lazer) | double_jump + (dodge | lazer))
| (Garden03UpperRight | Garden03LeftLower) + (high_jump | snow | flower | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge | lazer) | double_jump + (dodge | lazer))",Done,,Finished - TENTATIVELY / a little rushed,"UpperLeft: high_jump | snow | flower | WALL_DASH | ReiBlast | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge) | double_jump + dodge

LeftUpper: high_jump | snow | flower | WALL_DASH + (double_jump | ReiBlast) | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge | ReiBlast) | double_jump + (dodge | ReiBlast)

UpperRight / LeftLower : high_jump | snow | flower | STALL + (double_jump | dodge | moon | grav) | moon + (double_jump | dodge | ReiBlast) | double_jump + (dodge | ReiBlast)","UpperLeft is good with all REIBOLG
double check the other lazer -> REIBOLG

Currently, main differences are WALL_DASH; UpperLeft can use only WALL_DASH and can use ReiBlast only, LeftUpper has some WALL_DASH/ReiBlast options as well"
Garden 3,Garden 3 - Arcane Smith's Musings,Garden_001_Zone_003.BP_Interactable_AddItem_C_2,"tips[""tip_engineermemoirs_01""]","Garden03UpperLeft 
| (Garden03UpperRight | Garden03LeftUpper | Garden03LeftLower) + (high_jump | double_jump | STALL | RONIN | REIBOLG)",Done,"there ""might"" be a dodge | WALL_DASH type of option from LeftUpper, but couldnt find anything

leg enhancement gear relic works too",Finished,,
Garden 3,Garden 3 - Chronicles of Milius,Garden_001_Zone_003.BP_Interactable_AddItem_C_3,"tips[""tip_miliusbook_01""]","(Garden03LeftLower | Garden03UpperRight) + (double_jump | high_jump | STALL | RONIN | REIBOLG)
| Garden03LeftUpper + (WALL_DASH + dodge | high_jump | double_jump | STALL | RONIN | REIBOLG)
| Garden03UpperLeft + (WALL_DASH | dodge | high_jump | double_jump | STALL | RONIN | REIBOLG)",Done,leg enhancement gear relic works too,Finished,,
Garden 3,Garden 3 - Words on Land's End,Garden_001_Zone_003.BP_Interactable_AddItem_C_4,"tips[""tip_landend_01""]","(Garden03LeftLower | Garden03UpperRight) + (high_jump | RONIN | STALL + (double_jump | dodge | grav) | double_jump + (dodge | lazer))
| Garden03LeftUpper + (high_jump | RONIN | WALL_DASH | STALL + (double_jump | dodge | grav) | double_jump + (dodge | lazer))
| Garden03UpperLeft + (dodge | double_jump | high_jump | RONIN | STALL | REIBOLG)",Done,"Lower Logic RONIN requires sprint, sorry.

im inconsistent though cause double_jump with sprint does not require dodge or anything else, sorry...",Finished - TENTATIVELY / a little rushed,This is an easier version of C1,double check lazer -> REIBOLG (and upper left REIBOLG)
Garden 3,Garden 3 - Battered Grimoire,Garden_001_Zone_003.BP_Interactable_AddItem_C_5,"passives[""damage_up_debuffed_1""]","(Garden03LeftLower | Garden03UpperRight) + (high_jump | RONIN | STALL + (double_jump | dodge | grav) | double_jump + (dodge | lazer))
| Garden03LeftUpper + (high_jump | RONIN | WALL_DASH | STALL + (double_jump | dodge | grav) | double_jump + (dodge | lazer))
| Garden03UpperLeft + (dodge | double_jump | high_jump | RONIN | STALL | REIBOLG)",Done,"Same as above

Lower Logic RONIN requires sprint, sorry.

im inconsistent though cause double_jump with sprint does not require dodge or anything else, sorry...",Finished - TENTATIVELY / a little rushed,,double check lazer -> REIBOLG (and upper left REIBOLG)
Garden 5,Garden 5 - Tripartite Magic Vial,Garden_001_Zone_005.EVT_ev_n_Levy_Treasure5_002,"stats[""passive_slot_l""]",(Garden05Left | Garden05Right) + (EVT_ev_s_e0233_Researcher_Defeat + quest_perfume),Done,Teacher needs to be moved here by finding all students,N/A,,
Garden 5,Garden 5 - Magic Amplifier,Garden_001_Zone_005.EVT_ev_s_0233_Researcher_002,"materials[""parts_lv4_b""]",Garden05Left | Garden05Right + EVT_ev_s_e0233_Researcher_Defeat + EVT_ev_s_n0233_RescueSuccess_001,Done,"Needs all students rescued, then speak to teacher in 09, move back to here and get item",N/A,,
Garden 6,Garden 6 - Magic Vial,Garden_001_Zone_006.BP_Breakable_SpawnItem_Pod_01_C_1,"stats[""passive_slot_s""]","(Garden06UpperDoor + (high_jump | (dodge | double_jump) + wall_grab) 
| Garden06Right + (high_jump | double_jump + wall_grab)
| Garden06Left + (high_jump | double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)) 
+ dash_charge + pile_attack",In Progress,Same as 84,"(Garden06UpperDoor + (high_jump | wall_grab + (dodge | double_jump)) 
| Garden06Right + (high_jump | double_jump + wall_grab)
| Garden06Left + (high_jump | double_jump + wall_grab + (hook | dodge | wall_charge) | wall_grab + hook + dodge)) 
+ dash_charge + pile_attack",From Right: STALL + (grav + moon | snow) | (moon | snow) + wall_grab,"From Left... 
regardless: high_jump

portal?
(axe + dodge | STALL + grav | snow | moon | FLOWER2 | double_jump))

wall_grab + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump))"
Garden 6,Garden 6 - Materials,Garden_001_Zone_006.BP_Interactable_AddItem_C_1,"currencies[""Default""]","Garden06UpperDoor 
| (Garden06Right + (high_jump | (double_jump + wall_grab + hook)))
| (Garden06Left + (high_jump | (double_jump + hook)))",In Progress,,"Garden06UpperDoor 
| Garden06Right + (high_jump | double_jump + wall_grab + hook)
| Garden06Left + (high_jump | double_jump + hook | hook + dodge + wall_grab)",From RIght: STALL + grav + (double_jump | dodge) + snow + wall_grab | STALL + grav + double_jump + dodge + wall_grab | hook + wall_grab + ((sword | scythe) + (grav | dodge) | axe | moon | FLOWER2) | hook + snow ,"Left: (high_jump | hook + (axe + dodge | STALL + grav | snow | moon | FLOWER2 | double_jump))

From RIGHT: double_jump + WALL_DASH + STALL + grav + snow + dodge - THIS ALLOWS to reach transition"
Garden 6,Garden 6 - Origin Gem Core,Garden_001_Zone_006.BP_Interactable_AddItem_C_2,"materials[""parts_lv6_a""]","(Garden02Right | ((Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever) | (Garden02LowerRight + (Garden02LowerRightRight_Lever)))
 + (WALL_DASH + double_jump + dodge)",In Progress,Requires wall dash from garden02,"(Garden02Right | (Garden02LowerLeft | Garden02Left) + Garden02LowerLeft_Lever | Garden02LowerRight + Garden02LowerRightRight_Lever)
 + (WALL_DASH + double_jump + (dodge | high_jump))","Garden06 + high_jump + double_jump + dodge + STALL

from Garden06UpperDoor + ((axe | scythe) + (RONIN | REIBOLG) | sword + RONIN + (ReiBlast | wall_grab | hook)) + double_jump + dodge + grav
WALL_DASH + double_jump + RONIN (flower IS JANK, wall_grab the doorway wall, then WALL_DASH + double_jump and flower onto the roof to wall_grab that ledge


hook | wall_grab open up options from other entrances too","Can now also WALL_DASH from Garden06! brief scenario:
Garden06Right + double_jump + WALL_DASH + hook + (moon | snow) (tested with moon)"
Garden 6,Garden 6 - Unidentified Amplifier,Garden_001_Zone_006.BP_Interactable_TreasureBox_C_1,"materials[""parts_s5000_b""]","((Garden06Right + (high_jump | (double_jump + wall_grab))) 
| (Garden06Left + (high_jump | (double_jump + (hook | WALL_DASH))))
| Garden06UpperDoor) 
+ (dash_charge + pile_attack)",In Progress,Same as 81,"(Garden06UpperDoor + (high_jump | wall_grab + (dodge | double_jump)) 
| Garden06Right + (high_jump | double_jump + wall_grab) 
| Garden06Left + (high_jump | double_jump + (wall_grab + (hook | dodge) | WALL_DASH) | wall_grab + hook + dodge)) 
+ dash_charge + pile_attack","JUST COPY 81 , DONT THINK ABOUT THIS ONE OTHERWISE",SEE NOTES
Garden 7,Garden 7 - Luiseach's Carapace,Garden_001_Zone_007.BP_Interactable_AddItem_C_1,"equipments[""shield_009""]",(Garden07LowerDoor | Garden07Upper) + ((scythe | axe) + grav + (dodge + moon | double_jump) | sword + grav + double_jump + (RONIN | dodge) | STALL + grav + dodge + snow | axe + double_jump + (moon | snow) | wall_grab + (snow | dodge + (double_jump | moon | FLOWER2 | STALL + grav) | double_jump + (STALL | moon | FLOWER2) | STALL + (FLOWER2 | moon)) | high_jump + (FLOWER2 | snow | (scythe | axe | moon) + grav + lazer | STALL + (flower | dodge | double_jump | moon) | double_jump + (dodge | wall_grab | moon | flower) | dodge + (moon | flower)) | WALL_DASH + (double_jump | moon | FLOWER2 | STALL + grav)),Done,,Finished,"Nicer readable format

((scythe | axe) + grav + (dodge + moon | double_jump) | sword + grav + double_jump + (RONIN | dodge) | STALL + grav + dodge + snow | axe + double_jump + (moon | snow)

| wall_grab + (snow | dodge + (double_jump | moon | FLOWER2 | STALL + grav) | double_jump + (STALL | moon | FLOWER2) | STALL + (FLOWER2 | moon))

| high_jump + (FLOWER2 | snow | (scythe | axe | moon) + grav + ReiBlast | STALL + (flower | dodge | double_jump | moon) | double_jump + (dodge | wall_grab | moon | flower) | dodge + (moon | flower))

| WALL_DASH + (double_jump | moon | FLOWER2 | STALL + grav))",double check lazer -> REIBOLG
Garden 8,Garden 8 - Scrap,Garden_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]",Garden08Right | Garden08Upper,Done,,N/A,,
Garden 11,Garden 11 - Luiseach,Garden_001_Zone_011.EVT_ev_s_e5070_Witch_Defeat,"spirits[""s5070_witch""]",Garden11Right,Done,,N/A,,
Garden 14,Garden 14 - Charmed Fragment,Garden_001_Zone_014.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Garden14Right + dive) 
| (Garden14Left + TORRENT)",Done,,N/A,,
Kowloon 5,Kowloon 5 - Mother's Note,Kowloon_001_Zone_005.BP_Interactable_AddItem_C_0,"tips[""tip_mothersnote_01""]","Kowloon05UpperLeft 
| (Kowloon05LowerLeft | Kowloon05Right) + (high_jump | snow | moon | wall_grab + (double_jump | FLOWER2 | STALL + grav | axe + dodge + lazer) | double_jump + (STALL | flower) | STALL + grav + (dodge | flower))",Done,,Finished,,double check lazer -> REIBOLG
Kowloon 8,Kowloon 8 - Chief Attuner's Ring,Kowloon_001_Zone_008.BP_Interactable_AddItem_C_1,"passives[""restore_sp_up_a_1""]",Kowloon08Left | Kowloon08Right,Done,,N/A,,
Kowloon 9,Kowloon 9 - Levy,Kowloon_001_Zone_009.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_bird""]",Kowloon09HiddenRight | (Kowloon09Upper + Kowloon09Upper_Lever),Done,,N/A,,
Kowloon 13,Kowloon 13 - Scrap,Kowloon_001_Zone_013.BP_Interactable_AddItem_C_1,"currencies[""rare""]","Kowloon13UpperRight 
| (Kowloon13HiddenLower | Kowloon13UpperLeft) + (high_jump | wall_grab | axe + (moon | flower | hook) + double_jump + dodge | STALL + grav + ((hook | RONIN | dodge) + double_jump | dodge + snow) | hook + double_jump + (snow | moon) | sword + grav + dodge + moon + hook | (axe | scythe) + grav + dodge + moon | STALL + double_jump + dodge + snow)",Done,"There is a fraction of a second hook display for scythe + double_jump + dodge + hook , I havent been able to pull off though.",Finished,"
",
Kowloon 18,Kowloon 18 - Charmed Fragment,Kowloon_001_Zone_018.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Kowloon18Left + (wall_grab + (dodge | wall_charge | moon | snow | STALL + (grav | double_jump | flower)) | lazer + (dodge | double_jump | STALL | grav | RONIN) | STALL + (dodge | double_jump) + (RONIN | grav)),Done,,Finished,,double check lazer -> REIBOLG
Kowloon 21,Kowloon 21 - Magic Amplifier,Kowloon_001_Zone_021.BP_Interactable_AddItem_C_1,"materials[""parts_lv4_b""]",Kowloon21LowerLeft + (high_jump | wall_grab | STALL + grav + double_jump + (dodge | moon | snow) | axe + dodge + double_jump + (moon | snow) | scythe + flower + grav + double_jump),Done,,Finished,,
Kowloon 26,Kowloon 26 - Materials,Kowloon_001_Zone_026.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Kowloon26Left | Kowloon26Right,Done,,N/A,,
Kowloon 28,Kowloon 28 - Arena Tower Demon Mask,Kowloon_001_Zone_028.BP_Interactable_AddItem_C_0,"passives[""damage_up_skillcategory_defence_1""]",(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab | (axe | scythe | sword + RONIN) + grav + double_jump + dodge | (scythe | axe) + grav + double_jump + snow | axe + double_jump + dodge + snow + lazer),Done,SAME AS BELOW - updates made to either should be made to the other,Finished,,double check lazer -> REIBOLG
Kowloon 28,Kowloon 28 - Magic Amplifier,Kowloon_001_Zone_028.BP_Interactable_AddItem_C_1,"materials[""parts_lv4_b""]",(Kowloon28Left | Kowloon28Right) + (high_jump | wall_grab | (axe | scythe | sword + RONIN) + grav + double_jump + dodge | (scythe | axe) + grav + double_jump + snow | axe + double_jump + dodge + snow + lazer),Done,SAME AS ABOVE - updates made to either should be made to the other,Finished,,double check lazer -> REIBOLG
Kowloon 29,Kowloon 29 - Scrap,Kowloon_001_Zone_029.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Kowloon29Left,Done,,N/A,,
Kowloon 31,Kowloon 31 - Grimoire,Kowloon_001_Zone_031.BP_Interactable_TreasureBox_C_0,"stats[""shop_line_up""]",Kowloon31Right,Done,,N/A,,
Kowloon 32,Kowloon 32 - Arena Tower Flyer,Kowloon_001_Zone_032.BP_Interactable_AddItem_C_0,"tips[""tip_fightingtower_01""]",Kowloon32Left,Done,,N/A,,
Kowloon 33,Kowloon 33 - Fugitive Researcher's Notes,Kowloon_001_Zone_033.BP_Interactable_AddItem_C_0,"tips[""tip_researchersjournal_01""]","Kowloon33Left 
| (Kowloon33Right + Kowloon34Lower_Lever)",Done,,N/A,,
