Room,Door,Lead to,Logic,Status,Notes,,Original (before Aloha edits),Final Logic ?
Kowloon 2,Kowloon02UpperRight,Kowloon05UpperLeft,"((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + high_jump)
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge | high_jump))",Done,high_jump without any other movement options suffices for all entrances; no other options from Lower/Center areas,"WALL_DASH only from UpperLeft feels excessive / difficult, but wall_grab is also rather precise","((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + high_jump + (double_jump | dodge | WALL_DASH))
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge))","((Kowloon02LowerLeft | Kowloon02LowerRight | Kowloon02CenterRight) + high_jump)
| (Kowloon02UpperLeft + (WALL_DASH | double_jump | dodge | high_jump))"
Kowloon 3,Kowloon03Left,Kowloon02LowerRight,Kowloon03Right,Done,,,,Kowloon03Right
Kowloon 3,Kowloon03Right,Kowloon06LowerLeft,Kowloon03Left,Done,,,,Kowloon03Left
Kowloon 4,Kowloon04LeftDoor,Summit01RightDoor,Kowloon04Right,Done,,,,Kowloon04Right
Kowloon 4,Kowloon04Right,Kowloon43Left,Kowloon04LeftDoor,Done,,,,Kowloon04LeftDoor
Kowloon 5,Kowloon05LowerLeft,Kowloon02CenterRight,Kowloon05Right | Kowloon05UpperLeft,Done,,,,Kowloon05Right | Kowloon05UpperLeft
Kowloon 5,Kowloon05Right,Kowloon06UpperLeft,Kowloon05LowerLeft | Kowloon05UpperLeft,Done,,,Kowloon05Left | Kowloon05UpperLeft,Kowloon05LowerLeft | Kowloon05UpperLeft
Kowloon 5,Kowloon05UpperLeft,Kowloon02UpperRight,(Kowloon05LowerLeft | Kowloon05Right) + (high_jump | (wall_grab + double_jump)),Done,,,,(Kowloon05LowerLeft | Kowloon05Right) + (high_jump | (wall_grab + double_jump))
Kowloon 6,Kowloon06CenterRight,Kowloon08Left,None,Done,Realise we may be causing recurrsives with levers lmk,,,None
Kowloon 6,Kowloon06LowerLeft,Kowloon03Right,"(Kowloon06LowerRight + (wall_grab | high_jump + (dodge | double_jump))) 
| (Kowloon06UpperLeft | Kowloon06CenterRight | Kowloon06UpperRight)",Done,"from LowerRight, added high_jump + (double_jump | dodge)",,"(Kowloon06LowerRight + wall_grab) 
| (Kowloon06UpperLeft | Kowloon06CenterRight | Kowloon06UpperRight)","(Kowloon06LowerRight + (wall_grab | high_jump + (dodge | double_jump))) 
| (Kowloon06UpperLeft | Kowloon06CenterRight | Kowloon06UpperRight)"
Kowloon 6,Kowloon06LowerRight,Kowloon07Left,"((Kowloon06LowerLeft | Kowloon06CenterRight | Kowloon06UpperRight | Kowloon06UpperLeft) 
+ (double_jump | dodge | wall_grab)) ",Done,,,,"((Kowloon06LowerLeft | Kowloon06CenterRight | Kowloon06UpperRight | Kowloon06UpperLeft) 
+ (double_jump | dodge | wall_grab)) "
Kowloon 6,Kowloon06UpperLeft,Kowloon05Right,"((Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump | double_jump))
| (Kowloon06LowerRight + (double_jump + (wall_grab | high_jump) | (dodge + high_jump)))
| (Kowloon06UpperRight + (dodge | double_jump | high_jump))",Done,,,,"((Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump | double_jump))
| (Kowloon06LowerRight + (double_jump + (wall_grab | high_jump) | (dodge + high_jump)))
| (Kowloon06UpperRight + (dodge | double_jump | high_jump))"
Kowloon 6,Kowloon06UpperRight,Kowloon16Left,"((Kowloon06LowerLeft | Kowloon06CenterRight) + ((high_jump + (double_jump | dodge | WALL_DASH)) | (double_jump + hook)))
| (Kowloon06LowerRight + (high_jump + (double_jump | dodge | wall_charge)) | (wall_grab + hook + double_jump)) 
| (Kowloon06UpperLeft + ((high_jump + (double_jump | dodge | WALL_DASH)) | (hook + (dodge | double_jump))))",Done,"Added WALL_DASH/charge option to LowerRight/LowerLeft/CenterRight entrances;
",,"((Kowloon06LowerLeft | Kowloon06CenterRight) + ((high_jump + (double_jump | dodge)) | (double_jump + hook)))
| (Kowloon06LowerRight + (high_jump + (double_jump | dodge)) | (wall_grab + hook + double_jump)) 
| (Kowloon06UpperLeft + ((high_jump + (double_jump | dodge | WALL_DASH)) | (hook + (dodge | double_jump))))","(Kowloon06LowerLeft | Kowloon06CenterRight) + (high_jump + (double_jump | dodge | WALL_DASH) | double_jump + hook)
| Kowloon06LowerRight + (high_jump + (double_jump | dodge | WALL_DASH) | wall_grab + hook + double_jump) 
| Kowloon06UpperLeft + (high_jump + (double_jump | dodge | WALL_DASH) | hook + (dodge | double_jump))"
Kowloon 7,Kowloon07Left,Kowloon06LowerRight,Kowloon07Right | (Kowloon07Lower + Kowloon09Upper_Lever),Done,,,,Kowloon07Right | (Kowloon07Lower + Kowloon09Upper_Lever)
Kowloon 7,Kowloon07Lower,Kowloon09Upper,(Kowloon07Right | Kowloon07Left) + Kowloon09Upper_Lever,Done,"Needs access to 09 to hit the Lever; 
does this need the Kowloon07Left & Kowloon07Right?
(Kowloon07Right | Kowloon07Left) +",,Kowloon09Upper_Lever,(Kowloon07Right | Kowloon07Left) + Kowloon09Upper_Lever
Kowloon 7,Kowloon07Right,Kowloon10Left,Kowloon07Left | (Kowloon07Lower + Kowloon09Upper_Lever),Done,,,,Kowloon07Left | (Kowloon07Lower + Kowloon09Upper_Lever)
Kowloon 8,Kowloon08Left,Kowloon06CenterRight,Kowloon08Right,Done,,,,Kowloon08Right
Kowloon 8,Kowloon08Right,Kowloon15CenterLeft,Kowloon08Left,Done,,,,Kowloon08Left
Kowloon 9,Kowloon09HiddenRight,Kowloon14Left,Kowloon09Upper + Kowloon09Upper_Lever,Done,is this recursive?,,,Kowloon09Upper + Kowloon09Upper_Lever
Kowloon 9,Kowloon09Upper,Kowloon07Lower,Kowloon09HiddenRight + wall_grab + (dodge | double_jump | high_jump | wall_charge),Done,,,Kowloon09HiddenRight + wall_grab + (double_jump | high_jump),Kowloon09HiddenRight + wall_grab + (dodge | double_jump | high_jump | wall_charge)
Kowloon 10,Kowloon10Left,Kowloon07Right,Kowloon10Right + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + (wall_grab | high_jump)),Done,"Added double_jump + dodge + (wall_grab | high_jump)
barely reaches",,Kowloon10Right + (hook | (WALL_DASH + (double_jump | high_jump))),Kowloon10Right + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + (wall_grab | high_jump))
Kowloon 10,Kowloon10Lower,Kowloon13UpperLeft,"((Kowloon10Left | Kowloon10Right) + (hook | (double_jump + (high_jump | WALL_DASH | dodge))))
+ pile_attack",Done,Added double_jump + dodge also reaches,"Im not sure this is correct with double_jump + high_jump?
I think this involves ""sprinting"" in air
double_jump while sprinting works...","((Kowloon10Left | Kowloon10Right) + (hook | (double_jump + (high_jump | WALL_DASH))))
+ pile_attack","((Kowloon10Left | Kowloon10Right) + (hook | (double_jump + (high_jump | WALL_DASH | dodge))))
+ pile_attack"
Kowloon 10,Kowloon10Right,Kowloon15LowerLeft,Kowloon10Left + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + high_jump),Done,basically same as 243 except wall_grab option is out of reach,double_jump + dodge also is sufficient WITH GRAV (8/1),Kowloon10Left + (hook | (double_jump + (high_jump | WALL_DASH))),Kowloon10Left + (hook | (WALL_DASH + (double_jump | high_jump)) | double_jump + dodge + high_jump)
Kowloon 13,Kowloon13HiddenLower,Kowloon14HiddenUpper,"(Kowloon13UpperLeft + (wall_grab | double_jump | high_jump | (hook + dodge))) 
| Kowloon13UpperRight",Done,,,,"(Kowloon13UpperLeft + (wall_grab | double_jump | high_jump | hook + dodge)) 
| Kowloon13UpperRight"
Kowloon 13,Kowloon13UpperLeft,Kowloon10Lower,(Kowloon13UpperRight | Kowloon13HiddenLower) + high_jump,Done,Simplified to high_jump as is always required; but id also argue standing in fire is not intended :),wall_grab | high_jump simply required to enter from hiddenLower,(Kowloon13UpperRight | Kowloon13HiddenLower) + (high_jump | (double_jump + wall_grab)),(Kowloon13UpperRight | Kowloon13HiddenLower) + high_jump
Kowloon 13,Kowloon13UpperRight,Kowloon15Lower,"(Kowloon13UpperLeft | Kowloon13HiddenLower) + (high_jump | (wall_grab + dodge + double_jump) | double_jump + (hook + wall_grab | wall_charge))
",Done,"wall_grab + hook is not enough from HiddenLower if Im reading correctly
wall_grab + hook + double_jump | WALL_DASH + double_jump | wall_grab + double_jump + dodge; I think HiddenLower should simply be the same as UpperLeft","wall_grab | high_jump simply required to even enter from hiddenLower

this might need a good review","(Kowloon13UpperLeft + (high_jump | (wall_grab + ((dodge + double_jump) | double_jump + (hook | wall_charge)))))
| (Kowloon13HiddenLower + (high_jump | (wall_grab + (hook | (double_jump + (dodge | wall_charge))))))","(Kowloon13UpperLeft | Kowloon13HiddenLower) + (high_jump | wall_grab + dodge + double_jump | double_jump + (hook + wall_grab | WALL_DASH))
"
Kowloon 14,Kowloon14HiddenUpper,Kowloon13HiddenLower,Kowloon14Left + (hook + double_jump + dodge + (wall_grab | high_jump)),Done,"hook + dodge (without double_jump) is technically enough, just a bit difficult - have to basically jump as early as possible",,"No change made, but could update if not deemed too difficult",Kowloon14Left + (hook + double_jump + dodge + (wall_grab | high_jump))
Kowloon 14,Kowloon14Left,Kowloon09HiddenRight,Kowloon14HiddenUpper + hook + (dodge | double_jump | WALL_DASH),Done,,,,Kowloon14HiddenUpper + hook + (dodge | double_jump | WALL_DASH)
Kowloon 15,Kowloon15CenterLeft,Kowloon08Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge)))) 
| (Kowloon15LowerRight + (wall_grab | high_jump)) 
| ((Kowloon15UpperLeft | Kowloon15UpperRight) + (wall_grab | high_jump | dodge | double_jump | hook))",Done,Removed CenterLeft from logic,,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge)))) 
| (Kowloon15LowerRight + (wall_grab | high_jump)) 
| ((Kowloon15CenterLeft | Kowloon15UpperLeft | Kowloon15UpperRight) + (wall_grab | high_jump | dodge | double_jump | hook))","((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge)))) 
| (Kowloon15LowerRight + (wall_grab | high_jump)) 
| ((Kowloon15UpperLeft | Kowloon15UpperRight) + (wall_grab | high_jump | dodge | double_jump | hook))"
Kowloon 15,Kowloon15Lower,Kowloon13UpperRight,(Kowloon15LowerLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight | Kowloon15CenterLeft) + Kowloon15Lower_Lever,Done,,,,(Kowloon15LowerLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight | Kowloon15CenterLeft) + Kowloon15Lower_Lever
Kowloon 15,Kowloon15LowerLeft,Kowloon10Right,"(Kowloon15Lower + (high_jump | wall_grab)) 
| (Kowloon15CenterLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight)",Done,,,,"(Kowloon15Lower + (high_jump | wall_grab)) 
| (Kowloon15CenterLeft | Kowloon15LowerRight | Kowloon15UpperLeft | Kowloon15UpperRight)"
Kowloon 15,Kowloon15LowerRight,Kowloon18Left,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge))))
| ((Kowloon15CenterLeft) + (hook | double_jump | dodge | high_jump | WALL_DASH))
| Kowloon15UpperLeft | Kowloon15UpperRight",Done,"CenterLeft can reach with a single jump, no movement required (a little precise)",,"No change made, but could update if not deemed too difficult","((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + (dodge | wall_charge))))
| ((Kowloon15CenterLeft) + (hook | double_jump | dodge | high_jump | WALL_DASH))
| Kowloon15UpperLeft | Kowloon15UpperRight"
Kowloon 15,Kowloon15UpperLeft,Kowloon16Right,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| Kowloon15UpperRight",Done,,,,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| Kowloon15UpperRight"
Kowloon 15,Kowloon15UpperRight,Kowloon21LowerLeft,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft | Kowloon15UpperLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| (Kowloon15UpperLeft + (high_jump | (wall_grab + (hook + (dodge | double_jump)) | (double_jump + dodge))))",Done,,,,"((Kowloon15Lower | Kowloon15LowerLeft) + (high_jump | (wall_grab + dodge + hook)))
| ((Kowloon15LowerRight | Kowloon15CenterLeft | Kowloon15UpperLeft) + (high_jump | (wall_grab + hook + (dodge | double_jump)))) 
| (Kowloon15UpperLeft + (high_jump | (wall_grab + (hook + (dodge | double_jump)) | (double_jump + dodge))))"
Kowloon 16,Kowloon16Left,Kowloon06UpperRight,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Right + (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + (double_jump | high_jump)))",Done,,,,"Kowloon16Upper + (hook | WALL_DASH + (double_jump | high_jump))
| Kowloon16Right + (hook + (high_jump | double_jump + wall_grab) | WALL_DASH + (double_jump | high_jump))"
Kowloon 16,Kowloon16Right,Kowloon15UpperLeft,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Left + (hook | (double_jump + WALL_DASH)))",Done,,,,"(Kowloon16Upper + (hook | (WALL_DASH + (double_jump | high_jump))))
| (Kowloon16Left + (hook | (double_jump + WALL_DASH)))"
Kowloon 16,Kowloon16Upper,Kowloon23Lower,"(Kowloon16Left + (high_jump + double_jump + dodge) | (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + double_jump))
| (Kowloon16Right + (hook + (high_jump | (double_jump + wall_grab))) | (WALL_DASH + (double_jump | high_jump)))",Done,,,,"Kowloon16Left + (high_jump + double_jump + dodge | hook + (high_jump | double_jump + wall_grab) | WALL_DASH + double_jump)
| Kowloon16Right + (hook + (high_jump | double_jump + wall_grab) | WALL_DASH + (double_jump | high_jump))"
Kowloon 18,Kowloon18Left,Kowloon15LowerRight,None,Done,,,,None
Kowloon 21,Kowloon21LowerLeft,Kowloon15UpperRight,None,Unsure,Has a Gate that can only be unlocked by beating the gauntlets below,,,None
Kowloon 21,Kowloon21UpperLeft,Kowloon24Right,Kowloon21LowerLeft + (wall_grab | high_jump),Done,,,,Kowloon21LowerLeft + (wall_grab | high_jump)
Kowloon 23,Kowloon23Lower,Kowloon16Upper,Kowloon23Upper + pile_attack,Done,,,,Kowloon23Upper + pile_attack
Kowloon 23,Kowloon23Upper,Kowloon24Lower,None,Done,slam floor prevents access up,,,None
Kowloon 24,Kowloon24Left,Kowloon25Right,Kowloon24Right | Kowloon24Upper,Done,,,,Kowloon24Right | Kowloon24Upper
Kowloon 24,Kowloon24Lower,Kowloon23Upper,"(Kowloon24Upper 
| (Kowloon24Left | Kowloon24Right) + (hook | high_jump | (wall_grab + double_jump)))
+ pile_attack",Done,"Added high_jump to Left/Right as height option
wall_grab + double_jump is difficult! adding dodge would make much easier",,"(Kowloon24Upper 
| (Kowloon24Left | Kowloon24Right) + (hook | (wall_grab + double_jump)))
+ pile_attack","(Kowloon24Upper 
| (Kowloon24Left | Kowloon24Right) + (hook | high_jump | (wall_grab + double_jump)))
+ pile_attack"
Kowloon 24,Kowloon24Right,Kowloon21UpperLeft,Kowloon24Left | Kowloon24Upper,Done,,,,Kowloon24Left | Kowloon24Upper
Kowloon 24,Kowloon24Upper,Kowloon30Lower,(Kowloon24Left | Kowloon24Right) + hook,Done,,,,(Kowloon24Left | Kowloon24Right) + hook
Kowloon 25,Kowloon25Left,Kowloon26Right,Kowloon25Right + (wall_grab | high_jump) + (double_jump | dodge),Done,added dodge option in conjunction with high_jump and combined,,Kowloon25Right + (wall_grab + (double_jump | dodge)) | (double_jump + high_jump),Kowloon25Right + (wall_grab | high_jump) + (double_jump | dodge)
Kowloon 25,Kowloon25Right,Kowloon24Left,Kowloon25Left + (wall_grab | dodge | high_jump | double_jump),Done,dodge is difficult,,,Kowloon25Left + (wall_grab | dodge | high_jump | double_jump)
Kowloon 26,Kowloon26Left,Kowloon38LowerRight,Kowloon26Right,Done,,,,Kowloon26Right
Kowloon 26,Kowloon26Right,Kowloon25Left,Kowloon26Left,Done,,,,Kowloon26Left
Kowloon 28,Kowloon28Left,Kowloon47Right,Kowloon28Right,Done,,,,Kowloon28Right
Kowloon 28,Kowloon28Right,Kowloon34UpperLeft,Kowloon28Left,Done,,,,Kowloon28Left
Kowloon 29,Kowloon29Left,Kowloon30LowerRight,None,Done,,,,None
Kowloon 30,Kowloon30CenterLeft,Kowloon41UpperRight,"(Kowloon30LowerLeft + (high_jump | hook)) 
| (Kowloon30LowerRight + ((high_jump + hook) | high_jump + double_jump + dodge | (double_jump + (WALL_DASH | (wall_grab + hook)))))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| Kowloon30UpperLeft
| (Kowloon30CenterRight + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| Kowloon30UpperRight + (WALL_DASH | hook | high_jump + double_jump + dodge)",Done,"Suggesting deleting high_jump outright from CenterRight logic, or adding it as option to LowerRight","CenterRight high_jump not required (makes it easier though - otherwise have to jump out of the dash to grab the ledge)
That would make it consistent with LowerRight double_jump + WALL_DASH scenario

Renamed KowloonCenterRight -> Kowloon30CenterRight
Added high_jump + double_jump + dodge options to Rights","(Kowloon30LowerLeft + (high_jump | hook)) 
| (Kowloon30LowerRight + (high_jump + hook) | (double_jump + (WALL_DASH | (wall_grab + hook))))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| Kowloon30UpperLeft
| (KowloonCenterRight + (hook | (high_jump + double_jump + WALL_DASH)))
| Kowloon30UpperRight + (WALL_DASH | hook)","(Kowloon30LowerLeft + (high_jump | hook)) 
| (Kowloon30LowerRight + ((high_jump + hook) | high_jump + double_jump + dodge | (double_jump + (WALL_DASH | (wall_grab + hook)))))
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| Kowloon30UpperLeft
| (Kowloon30CenterRight + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| Kowloon30UpperRight + (WALL_DASH | hook | high_jump + double_jump + dodge)"
Kowloon 30,Kowloon30CenterRight,Kowloon33Left,"((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| (Kowloon30LowerRight + (high_jump |  (double_jump + wall_grab + hook))) 
| (Kowloon30UpperLeft + (WALL_DASH | hook | (high_jump + double_jump + dodge)))
| (Kowloon30UpperRight + (double_jump | hook | dodge | WALL_DASH | high_jump)) 
| (Kowloon30Lower + (hook | high_jump + double_jump + dodge)) ",Done,,"Added Lower high_jump + dodge + double_jump
Added addtl UpperRight conditions
Added Lower/CenterLeft dodge option
Added LeftUpper options","((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump + WALL_DASH))) 
| (Kowloon30LowerRight + (high_jump |  (double_jump + wall_grab + hook))) 
| (Kowloon30UpperLeft + (WALL_DASH | hook))
| (Kowloon30UpperRight + (double_jump | hook | dodge)) 
| (Kowloon30Lower + hook) ","((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump + (dodge | WALL_DASH))))
| (Kowloon30LowerRight + (high_jump |  (double_jump + wall_grab + hook))) 
| (Kowloon30UpperLeft + (WALL_DASH | hook | (high_jump + double_jump + dodge)))
| (Kowloon30UpperRight + (double_jump | hook | dodge | WALL_DASH | high_jump)) 
| (Kowloon30Lower + (hook | high_jump + double_jump + dodge)) "
Kowloon 30,Kowloon30Lower,Kowloon24Upper,"Kowloon30LowerLeft + (hook | (high_jump + (double_jump | dodge)))
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | dodge) | (high_jump + (double_jump | dodge)))
| (Kowloon30LowerRight + ((wall_grab + double_jump + (hook | WALL_DASH)) | (high_jump + (hook | double_jump | dodge))))
| (Kowloon30CenterRight + (hook | (double_jump + (dodge | WALL_DASH)) | (high_jump + (double_jump | dodge))))
| (Kowloon30UpperLeft + (dodge | hook | high_jump | WALL_DASH + double_jump))
| (Kowloon30UpperRight + (double_jump | dodge | hook | high_jump))",Done,"should lowerLeft + CenterLeft be + or |?
LowerLeft | CenterLeft do not need dodge | WALL_DASH
LowerLeft can WALL_DASH + double_jump out of the room transition ='(
CenterLeft can use double_jump + WALL_DASH | dodge
CenterRight could double_jump + WALL_DASH
LowerRight can also reach with high_jump + dodge","im not sure if WALL_DASH works without something to break out of it (for UpperLeft & UpperRight use cases)

Removed WALL_DASH from UpperRight; requires double jump to break out of the dash, which is already enough to reach lower

I might have to go double check prior WALL_DASH ahhhhhh

LowerLeft good outside of WALL_DASH potential","(Kowloon30LowerLeft + Kowloon30CenterLeft) + (hook | (double_jump + high_jump + (dodge | WALL_DASH)))
| (Kowloon30LowerRight + ((wall_grab + double_jump + (hook | WALL_DASH)) | (high_jump + (hook | double_jump))))
| (Kowloon30CenterRight + (hook | (double_jump + dodge) | (high_jump + double_jump)))
| (Kowloon30UpperLeft + (dodge | hook | high_jump | WALL_DASH))
| (Kowloon30UpperRight + (double_jump | dodge | hook | WALL_DASH | high_jump))","Kowloon30LowerLeft + (hook | (high_jump + (double_jump | dodge)))
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | dodge) | (high_jump + (double_jump | dodge)))
| (Kowloon30LowerRight + ((wall_grab + double_jump + (hook | WALL_DASH)) | (high_jump + (hook | double_jump | dodge))))
| (Kowloon30CenterRight + (hook | (double_jump + (dodge | WALL_DASH)) | (high_jump + (double_jump | dodge))))
| (Kowloon30UpperLeft + (dodge | hook | high_jump | WALL_DASH + double_jump))
| (Kowloon30UpperRight + (double_jump | dodge | hook | high_jump))"
Kowloon 30,Kowloon30LowerLeft,Kowloon41LowerRight,"Kowloon30LowerRight + (double_jump + wall_grab + (hook | wall_charge) | high_jump + hook | high_jump + double_jump + dodge) 
| (Kowloon30CenterRight | Kowloon30UpperRight) + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + double_jump + dodge)
| Kowloon30CenterLeft | Kowloon30UpperLeft",Done,"should CenterRight + UpperRight be + or |?
LowerRight, CenterRight, and UpperRight can all reach with high_jump + double_jump + dodge","you can WALL_DASH out of LowerRight ='(
note, its really dang precise, im not sure if its feasible without dodge either","(Kowloon30LowerRight + (double_jump + wall_grab + (hook | wall_charge)) | (high_jump + hook)) 
| (Kowloon30CenterRight + Kowloon30UpperRight) + (hook | WALL_DASH)
| (Kowloon30Lower + (hook | (high_jump + double_jump + dodge)))
| (Kowloon30CenterLeft | Kowloon30UpperLeft)","Kowloon30LowerRight + (double_jump + wall_grab + (hook | wall_charge) | high_jump + hook | high_jump + double_jump + dodge) 
| (Kowloon30CenterRight | Kowloon30UpperRight) + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + double_jump + dodge)
| Kowloon30CenterLeft | Kowloon30UpperLeft"
Kowloon 30,Kowloon30LowerRight,Kowloon29Left,"Kowloon30LowerLeft + (hook | high_jump + double_jump + (WALL_DASH | dodge)) 
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | high_jump + dodge))
| Kowloon30UpperLeft + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + dodge + double_jump)
| Kowloon30UpperRight | Kowloon30CenterRight",Done,,"Added LowerLeft, CenterLeft, and UpperLeft can all reach with high_jump + double_jump + dodge","(Kowloon30LowerLeft + (hook | (high_jump + double_jump + WALL_DASH))) 
| (Kowloon30CenterLeft + (hook | (double_jump + WALL_DASH)))
| (Kowloon30UpperLeft + (hook | WALL_DASH))
| (Kowloon30Lower + (hook | (high_jump + dodge + double_jump)))
| (Kowloon30UpperRight | Kowloon30CenterRight)","Kowloon30LowerLeft + (hook | high_jump + double_jump + (WALL_DASH | dodge)) 
| Kowloon30CenterLeft + (hook | double_jump + (WALL_DASH | high_jump + dodge))
| Kowloon30UpperLeft + (hook | WALL_DASH | high_jump + double_jump + dodge)
| Kowloon30Lower + (hook | high_jump + dodge + double_jump)
| Kowloon30UpperRight | Kowloon30CenterRight"
Kowloon 30,Kowloon30UpperLeft,Kowloon31Right,"(Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook + wall_grab + (double_jump | dodge | wall_charge) | high_jump + (double_jump | hook)) 
| Kowloon30LowerRight + (double_jump + wall_grab + (hook | high_jump + wall_charge) | high_jump + (hook | dodge + double_jump))
| Kowloon30CenterRight + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + double_jump + (WALL_DASH | dodge))
| Kowloon30UpperRight + (hook | WALL_DASH | high_jump + dodge + double_jump) 
| Kowloon30Lower + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + dodge + double_jump)",Done,"LowerRight can high_jump + hook + double_jump
LowerRight, CenterRight, and UpperRight can all reach with high_jump + double_jump + dodge

I am not sure about all the hook options here (aside from LowerRight and UpperRight)","Added + wall_grab + double_jump | dodge | wall_charge with hook for Lefts & Lower - I've been unable to reach with hook alone
Added high_jump + hook for Lefts & Lower
Added high + double + dodge for Rights
Added high_jump + hook for LowerRight","((Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook | (high_jump + double_jump))) 
| (Kowloon30LowerRight + (double_jump + wall_grab + (hook | (high_jump + wall_charge))))
| (Kowloon30CenterRight + (hook | (high_jump + double_jump + WALL_DASH)))
| (Kowloon30UpperRight + (hook | WALL_DASH)) 
| (Kowloon30Lower + (hook | (high_jump + dodge + double_jump)))","(Kowloon30LowerLeft | Kowloon30CenterLeft) + (hook + wall_grab + (double_jump | dodge | wall_charge) | high_jump + (double_jump | hook)) 
| Kowloon30LowerRight + (double_jump + wall_grab + (hook | high_jump + wall_charge) | high_jump + (hook | dodge + double_jump))
| Kowloon30CenterRight + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + double_jump + (WALL_DASH | dodge))
| Kowloon30UpperRight + (hook | WALL_DASH | high_jump + dodge + double_jump) 
| Kowloon30Lower + (hook + (high_jump | wall_grab + (double_jump | dodge | wall_charge)) | high_jump + dodge + double_jump)"
